,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,37.62811,0.23124386,37.055397,40.053734,42.054123,4.998726,222.94446,196.47049,153.70137,136.81122,0.7937151,0.63832265,0.4493881,0.6220485,1.0133703,0.5639822,9.536218,7.7324286,5.109225,4.253528,0.41263667,0.7150753,21.531706,0.38787523,6.786311,1.6138635,9.411119,1.3273216,3.3585732,4.7485075,0.017364928,1.1540776,1.197521,0.540304,6.2660017,0.54608303,4.0745196,2.9701,14.75863,0.89066285,721.4955,0.31399465,1282.9314,0.19946952,-170.88582,-0.37647504,1723.1444,0.14112602,992.817,0.27288637,-162.1394,-0.43988377,2801.3125,0.095896065,1038.4224,0.48243907,-163.16687,-0.42400026,-9.402567,-0.6856962,19.203388,0.46607342,-0.016427755,-1.246708,-0.012434515,-1.1945103,0.60059017,0.7627024,23.6493,0.31280786,-2.1029294,-6.6926146,8.431582,2.0599236,-9.703282,-1.7675451,-9.9676075,22.73178,-0.029111737,-0.00039930374,0.36280325,2.7468934,2.4278216,0.07648648,0.0850188,0.3236111,0.3747677,-22.162476,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,37.264046,0.19219778,37.318275,39.257446,40.96688,3.6486053,618.6417,775.0234,417.19904,594.67206,0.74238575,0.50455517,0.4409751,0.6399281,0.9791918,0.5382167,8.834995,5.9408455,5.108193,3.2682388,0.3872341,0.48565882,22.364702,0.33249602,6.7290215,1.7530068,11.352108,1.0580606,5.7175126,2.4898314,0.03218204,1.7864356,1.2677565,0.55855215,6.041285,0.49488294,8.969987,1.5567012,19.269222,0.50956625,679.68835,0.30538073,1368.7767,0.1959031,-167.17429,-0.41171676,1719.8014,0.13524409,1120.8346,0.3833988,-157.54497,-0.4711856,2755.5251,0.11556696,961.3878,0.35733503,-158.87236,-0.4525615,-11.710249,-0.68677574,21.482922,0.48398086,-0.010968586,-2.379919,-0.016351659,-0.8614968,0.4607147,0.40405554,26.280859,0.24807246,-0.0719697,-209.05896,10.284111,1.5122038,-5.7484374,-2.2927346,-11.237719,22.755198,-0.029769355,-0.001994882,0.36545703,4.054938,2.230971,0.09588235,0.0810997,0.35218748,0.5303756,-23.528265,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,35.3996,0.2329181,33.43233,36.64804,41.176144,7.7438126,276.29565,417.52444,268.89935,675.41785,1.4992944,0.7795121,0.59534186,1.1724893,2.13113,1.535788,21.017027,11.777779,14.686024,13.0548525,0.8597054,0.8799243,22.058609,0.42385653,-0.46289104,-26.269672,17.006464,1.031061,-18.060797,-1.0981793,0.020070603,1.6083596,1.0839287,0.5686973,6.054346,0.5443438,11.550978,1.0779397,17.626213,0.62401015,687.92267,0.30491048,1291.9001,0.20239963,-91.91981,-0.9841027,1763.6764,0.13000153,997.03217,0.43594208,-87.57431,-0.9531975,2762.3545,0.08386542,912.5614,0.4397461,-86.78448,-0.9681162,-9.166741,-0.7356171,17.186504,0.50357443,0.011050874,2.6870534,-0.023053387,-0.6847306,1.0931432,0.74830854,23.274319,0.43777862,-2.9741178,-4.26548,17.45903,1.081312,-23.499638,-0.80407387,-8.522205,17.005415,-0.004445583,-0.016420476,0.48258328,2.7468934,3.414314,0.17173076,0.15274061,0.10916667,0.09259753,-14.473508,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
12,-55DRRMTppE.005.wav,36.63118,0.22276062,35.002754,37.842796,41.627045,6.6242905,546.771,1043.4904,231.63388,327.54822,1.5547494,0.7426844,0.5996029,1.2494725,2.209825,1.6102221,25.450771,18.323912,16.67238,10.705124,0.96030784,0.8857547,18.783659,0.64279675,0.5303583,25.483196,15.718211,1.1949384,-10.817206,-2.1873653,0.020465221,1.1641791,1.1459024,0.5752028,6.012985,0.5646513,11.792093,1.0308331,17.08594,0.6673246,735.0333,0.30382645,1228.9501,0.1966769,-109.23796,-0.81367457,1806.7361,0.13507411,964.95935,0.4223176,-99.91411,-0.834778,2816.1384,0.084702514,878.23895,0.35209766,-99.35662,-0.84566927,-8.3873415,-0.89404964,17.46589,0.5425423,0.012850002,2.3967369,-0.017456407,-1.036963,1.2601086,0.724415,22.36895,0.47281542,-1.9617891,-6.2973814,16.035755,1.3134342,-19.37388,-1.1731305,-4.954656,14.331344,-0.010776681,-0.006020133,0.5893483,3.270111,3.8107755,0.13672413,0.10181775,0.11203703,0.10717551,-14.067433,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
26,-9BZ8A9U7TE.003.wav,38.937378,0.18065818,38.610584,40.318504,42.923134,4.3125496,99.54493,136.25665,195.7916,257.96997,0.90635115,0.6616334,0.35787714,0.79141015,1.4062135,1.0483364,13.831994,8.111268,9.736081,5.1314135,0.3951287,0.84286404,12.163872,0.9477356,2.4183087,6.433189,8.069196,1.89746,-23.414482,-0.89553386,0.020821737,1.3496135,1.1694984,0.6197347,7.147564,0.4926731,11.952748,1.0729856,19.94715,0.47403538,738.59515,0.2873738,1387.0638,0.1455572,-109.15454,-0.8474257,1764.1039,0.12790877,1096.233,0.31090623,-97.55509,-0.8897102,2796.839,0.07921597,859.741,0.45776674,-98.60785,-0.869408,-8.081141,-0.9839435,16.33099,0.5017181,0.03064894,1.0941913,-0.019353028,-0.88250554,0.52424365,0.65749556,14.954526,0.57278806,-0.10155531,-162.92484,6.079388,2.7925858,-31.801672,-0.6409457,-3.6491783,10.564677,0.014443067,-0.0046097445,0.23143624,3.793329,3.0839896,0.17212766,0.122073136,0.14,0.13752685,-21.977064,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
28,-AmMDnVl4s8.001.wav,36.037678,0.12728766,32.390347,35.75076,40.531044,8.1406975,175.5207,237.7768,75.87038,84.53809,0.6708584,0.5840461,0.33186668,0.5690309,0.9679024,0.63603574,6.6951694,5.4037185,5.0696006,3.8974836,0.21418323,0.8810334,18.652613,0.5049637,-7.8334265,-2.1089118,8.866438,1.6945382,-11.084267,-1.195997,0.023509668,1.3898988,1.2581849,0.47330475,4.8399253,0.67982715,2.8193514,3.569568,11.365117,0.802135,669.9892,0.3715167,1331.4985,0.1783131,-89.51421,-1.0106832,1667.7399,0.14394985,1054.2808,0.28921303,-79.19197,-1.0799197,2688.254,0.088495746,1011.99536,0.31778386,-82.28788,-1.0103048,-6.194901,-0.9902668,15.963789,0.41652197,0.061042815,0.29670313,-0.010446576,-1.038357,0.2431246,0.8339528,21.302189,0.37107936,-11.165188,-1.4578987,9.290762,1.6159383,-13.226756,-1.0323938,-5.2747836,13.1410475,0.05890802,-0.008398286,0.16584787,2.9431,3.2894738,0.18540001,0.16589405,0.10382978,0.09722868,-26.907454,0.6261682242990655,0.6770833333333334,0.7142857142857143,0.5728155339805825,0.5888888888888889,Test
29,-AmMDnVl4s8.003.wav,34.748158,0.15968946,31.399734,33.35053,39.102867,7.7031326,346.3412,479.7753,52.263107,40.516533,0.5817297,0.49566653,0.34433484,0.51312774,0.8165943,0.47225946,5.685917,3.445476,3.4197538,1.9642029,0.17537495,0.7164927,21.41505,0.4489412,-7.99488,-2.0146039,5.30388,2.9468641,-9.335177,-1.3456607,0.02340473,1.4552647,1.288099,0.43917075,3.9797668,0.7490397,5.09455,2.0424888,13.1176,0.82471967,670.88763,0.36079425,1354.3662,0.18548498,-99.88138,-0.9143543,1652.1809,0.14358051,1079.358,0.28110352,-91.92391,-0.96501976,2674.7349,0.089960314,993.7143,0.3682453,-94.923195,-0.90790266,-5.867923,-1.0390882,16.390295,0.42508492,0.05863689,0.3314437,-0.010220777,-1.3918382,0.20189705,0.6770456,24.147099,0.32147986,-11.986244,-1.2066029,7.2858043,2.3042452,-12.087682,-1.0445702,-6.021075,15.140171,0.05309041,-0.0077658603,0.14108892,3.1393068,3.6745408,0.145,0.11551128,0.11055555,0.10499411,-29.06222,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
31,-C5M9g4Quzc.002.wav,28.521454,0.14162265,24.869175,28.40971,31.123558,6.254383,134.35097,205.53496,38.192253,19.534645,0.79547775,0.5986422,0.4247157,0.6208273,1.1981243,0.7734086,12.986586,9.520606,9.64062,8.189872,0.5343413,0.8002614,23.9918,0.46582785,-1.2585506,-9.065052,15.911392,0.8585146,8.082296,1.8148761,0.022983,2.5635042,1.2952753,0.6781444,5.5046754,0.44781926,2.701488,2.6964242,18.63326,0.40270612,567.4175,0.3711615,1300.0742,0.16165216,-118.65271,-0.76935935,1563.6084,0.14933032,1033.4202,0.263096,-118.92339,-0.73795235,2593.5376,0.10189039,955.9197,0.28617096,-121.73754,-0.69397444,-12.29825,-0.495033,22.671354,0.2805486,-0.010218752,-2.2572222,-0.014238751,-0.9851755,0.6159977,0.52830946,32.602074,0.2260473,-3.3962986,-3.842541,13.012742,1.292077,2.133401,7.0943756,-12.580733,20.120502,-0.043763824,0.0025187945,0.47047228,3.4009156,2.8215222,0.14674418,0.10643746,0.18767442,0.1895139,-19.935095,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,28.829388,0.21573459,24.886066,31.007347,32.8978,8.011734,155.37741,171.28033,128.79535,128.16438,1.1680204,0.51850563,0.57944375,1.0789069,1.7695246,1.1900809,12.90201,6.735142,8.636765,4.675958,0.55006975,0.63996357,18.155725,0.66918147,1.0931668,13.131215,11.8227,1.2236018,-8.878896,-1.8524758,0.024095114,1.6476506,1.1331578,0.60483265,4.456087,0.5929658,1.8495476,6.4169,16.51057,0.67048,761.6521,0.3285511,1254.0725,0.20948452,-109.0543,-0.8544044,1788.0272,0.16372657,1002.99554,0.34801328,-106.29269,-0.8431206,2781.511,0.0989887,829.9888,0.368719,-107.33161,-0.8254045,-9.489573,-0.5768685,18.63419,0.38397548,0.016598403,2.0898871,-0.020227673,-0.75384194,0.6590704,0.55289567,23.763754,0.31216764,-3.6777723,-3.4583786,11.195511,1.4030597,-13.515292,-1.4104663,-5.8334284,13.067578,-0.002073121,-0.01168602,0.45039418,3.9895356,3.543307,0.13018519,0.11345567,0.13166666,0.11866151,-19.16724,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,33.97628,0.22532937,28.349672,33.634525,41.76606,13.416388,278.9459,245.38391,193.16104,140.34283,1.2527779,0.435512,0.76251733,1.1533542,1.704158,0.9416406,12.754982,5.6373954,7.8723907,3.8508925,0.6382759,0.58741075,17.355446,0.62344664,2.2396212,6.259123,12.34761,1.1146622,-4.8528094,-2.9750838,0.027718449,1.7408358,1.2085762,0.59202677,4.5158277,0.685581,4.889683,2.552722,13.397034,0.8183692,719.4136,0.4030701,1183.6058,0.22045447,-144.29897,-0.57467216,1754.1492,0.17419268,960.6326,0.3778776,-136.53473,-0.61167854,2747.416,0.10813253,782.6861,0.26785725,-136.80579,-0.6055147,-8.148146,-0.7717748,16.556288,0.45113903,0.01575896,2.327629,-0.017740801,-0.8601895,0.81399894,0.46816245,20.461136,0.39404505,-4.0546584,-3.5067265,13.629312,1.2155427,-11.4241705,-1.4388237,-6.41521,15.341028,-0.00499699,-0.011098637,0.5507978,4.643558,3.7401576,0.08122806,0.08628941,0.16578947,0.14750496,-18.779554,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
