,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
0,--Ymqszjv54.000.wav,26.33198,0.07954037,24.824554,26.096134,27.578808,2.7542534,103.07984,153.22615,30.881618,29.772093,0.6905224,1.176898,0.20093934,0.24157862,1.1695428,0.96860343,15.069862,10.856583,11.479185,7.0839276,0.35449392,1.5330701,9.3239,1.6630869,6.836817,1.9812993,0.8444448,20.305536,7.144716,1.3650614,0.018661618,2.117085,1.2099189,0.78131807,4.889817,0.5328371,4.152632,1.7434869,19.560966,0.5650755,543.43677,0.38775143,1306.3256,0.18645303,-154.52557,-0.5234848,1593.8982,0.13283339,920.58374,0.28346732,-155.0208,-0.5038832,2667.569,0.08894643,970.78156,0.34461913,-156.1655,-0.48723796,-11.834992,-0.69196546,21.938457,0.4168108,0.016435407,1.3349814,-0.018446274,-0.7734026,0.9758359,0.5639865,29.69661,0.31087807,1.2215849,15.313714,18.096312,1.07673,8.486646,1.8466702,-2.4696999,7.7886505,0.01663165,0.007212784,0.15149297,1.7004578,1.1811024,0.19999999,0.13420548,0.5931579,0.7395237,-18.475069,0.4205607476635514,0.5625,0.6593406593406592,0.4757281553398058,0.5777777777777777,Test
1,--Ymqszjv54.001.wav,25.657545,0.13941143,23.7751,24.679565,27.30112,3.52602,145.61348,151.82188,27.556131,22.805721,1.0751623,0.79731554,0.27266163,0.7746175,1.9077427,1.635081,19.28271,10.211762,11.180535,5.8458366,0.63935965,0.9738214,18.432972,1.0206861,4.842637,3.8636174,-0.68318933,-27.231163,6.510847,1.8175635,0.01757687,2.470123,1.2419688,0.6942312,4.2750893,0.65219885,5.800691,1.1568853,23.433002,0.4898858,546.8932,0.40000525,1345.149,0.17553917,-114.68781,-0.8298974,1573.3513,0.14838096,1012.90356,0.26258382,-115.80582,-0.79450536,2687.1553,0.09674489,1023.43384,0.34270355,-120.34441,-0.7214287,-10.414667,-0.86909276,24.323553,0.38786286,0.021148114,0.89870787,-0.014145421,-0.89167625,1.0183128,0.5469582,32.5363,0.29304883,-1.1891874,-17.573101,7.373419,2.7514553,6.2483025,2.2309098,-4.0033193,12.391947,0.021502413,0.002008315,0.33489195,3.0085022,2.1667762,0.1960606,0.14891405,0.24545453,0.31174085,-16.248455,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,Test
2,--Ymqszjv54.003.wav,25.236624,0.11453321,23.586908,24.702394,26.996956,3.4100475,27.160624,24.052916,15.056059,9.862543,1.000726,0.8934942,0.24809113,0.66223544,1.785285,1.5371939,18.463106,13.989316,11.606648,7.5509734,0.5344065,1.0898259,16.936447,1.0738156,7.4346795,2.2305226,0.9112575,18.463755,7.0855002,2.07941,0.014579327,3.5985775,1.1238862,0.71743995,5.0768547,0.4868843,6.482824,0.9499965,24.497524,0.44915122,575.0522,0.413365,1325.8441,0.16168417,-109.80915,-0.86086065,1601.7704,0.17186707,1028.1002,0.31721675,-111.4257,-0.822008,2722.98,0.1057966,983.32935,0.32499057,-116.31374,-0.7411386,-12.223636,-0.76108855,26.02257,0.36184838,0.01558536,1.584522,-0.0135768745,-1.2373117,0.9037786,0.61896574,31.390642,0.34340203,4.214392,4.8408685,7.1960554,2.7727892,7.0041084,2.5730302,-3.282823,9.9782715,0.020022418,0.0048123426,0.19902356,2.35448,1.9041367,0.24034482,0.15401483,0.28444445,0.35920006,-15.886625,0.3925233644859813,0.4270833333333333,0.5164835164835165,0.4757281553398058,0.4666666666666667,Test
3,--Ymqszjv54.004.wav,25.517675,0.13079786,23.398891,24.662437,27.048262,3.6493702,146.47765,180.41112,24.844975,26.141758,0.9054622,1.0218005,0.21146324,0.44917455,1.5981233,1.3866601,25.06167,18.821302,11.880064,7.7552285,0.5139737,1.2994298,14.637264,1.1485101,5.982065,2.657181,0.06396898,265.42825,6.871863,1.7138547,0.015459717,1.7053212,1.2037008,0.7352807,4.81717,0.48647022,3.8986158,1.7778329,23.829826,0.54705673,542.09985,0.41017485,1339.0256,0.17604467,-131.53696,-0.698874,1578.772,0.16158807,1002.4518,0.29086146,-132.95354,-0.6652672,2711.6738,0.10256244,1009.92,0.3656337,-136.6838,-0.610339,-12.131502,-0.79790395,26.1236,0.37653944,0.016948344,1.3550192,-0.015187412,-0.9886448,0.94541866,0.6260139,31.12953,0.29004467,3.4902918,5.8517027,8.491856,2.1512449,6.020871,2.6783836,-2.913685,10.69373,0.01672112,0.0062151956,0.2679827,2.0928712,1.4445175,0.24,0.20029524,0.4755,0.68797874,-16.924803,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
4,--Ymqszjv54.005.wav,26.595867,0.18459441,24.283897,26.208014,27.636835,3.3529377,116.16787,145.47292,53.128693,36.205143,0.96708137,0.9180655,0.22130284,0.6144523,1.7179949,1.4966921,16.978312,9.06307,11.254954,6.374278,0.5459165,1.096971,15.559264,1.1686333,7.0865254,2.2823079,0.56390315,28.944658,5.2594924,2.6196942,0.013569934,1.3487861,1.2238945,0.65390915,4.6833754,0.62816435,4.659922,1.6661916,22.340565,0.53783256,580.7806,0.40942657,1303.2117,0.16830058,-123.57543,-0.74762887,1597.8793,0.18312903,1021.5897,0.3297246,-124.520195,-0.7144797,2708.8325,0.11226551,965.2989,0.31039938,-127.61114,-0.6632431,-10.420443,-0.9817923,24.12411,0.46358582,0.016342046,1.319593,-0.014915741,-1.5488739,1.0114287,0.535318,30.776947,0.42673817,3.09051,6.4016495,7.1578603,2.6809793,4.727235,3.7927315,-3.7836325,10.342036,0.018372983,0.004068738,0.22414437,2.4198823,2.0997376,0.1859375,0.1603874,0.26181817,0.38296652,-15.943548,0.2990654205607476,0.2916666666666666,0.3736263736263736,0.3203883495145631,0.3444444444444444,Test
5,-10-QQDO_ME.001.wav,36.91528,0.108282074,34.95044,37.600197,39.057354,4.1069145,313.2244,422.64844,34.706165,28.14798,0.42584434,0.8136341,0.185139,0.27540168,0.65468884,0.46954983,6.071525,4.0865936,4.4318705,3.1954517,0.12185585,1.5101053,16.156576,0.5617911,-8.296211,-1.2423275,-0.28046215,-39.424374,-11.112179,-1.3594341,0.018331286,1.888397,1.0763873,0.5765374,8.094178,0.48672625,1.5137562,6.461123,17.274712,0.53574234,761.95416,0.26935798,1361.813,0.15990523,-124.94531,-0.76442116,1794.0118,0.12751761,1093.8762,0.2877281,-121.26322,-0.7559732,2763.6877,0.08365479,956.6749,0.3844564,-122.668526,-0.733049,-9.591628,-0.5618403,18.59668,0.38169837,0.07053055,0.295442,-0.019617476,-0.6420178,0.22594118,1.025204,24.07024,0.3075669,-12.205595,-1.0605284,-2.604427,-5.5719995,-23.155003,-0.5796324,-2.5799167,9.9276085,0.036023237,0.0051373322,0.04724902,1.8312622,1.3779528,0.2947619,0.23889865,0.41,0.55292296,-27.937908,0.5327102803738318,0.4166666666666667,0.5494505494505494,0.5631067961165048,0.6555555555555556,Test
6,-10-QQDO_ME.002.wav,36.870018,0.058914267,35.45233,36.847275,37.99485,2.5425186,154.66142,168.17516,23.532152,36.767063,0.4171103,0.73595965,0.18308692,0.25229543,0.6657997,0.48271275,5.293128,3.2642858,3.6630487,2.2171915,0.10719964,1.1694083,16.117388,0.6369709,-10.866543,-0.99729097,-4.3277006,-2.6274095,-10.156814,-1.2143912,0.010402847,1.3566161,0.9973748,0.5925676,8.415413,0.4237887,-0.59008926,-16.905878,19.101408,0.4893917,814.3296,0.25860757,1445.854,0.19690703,-129.34709,-0.73557204,1752.8181,0.11312822,1111.5033,0.2674282,-124.683495,-0.7522476,2794.6433,0.0788009,936.0618,0.31987023,-128.20233,-0.69676095,-8.183318,-0.6900395,19.831354,0.35743308,0.07719689,0.24997598,-0.017552812,-0.7127842,0.21300198,0.64201415,26.233452,0.26278603,-18.172794,-0.70385647,-8.780981,-1.7764145,-20.138252,-0.5976111,-1.8856766,8.773724,0.03908671,0.0051472546,0.03917645,1.8966645,1.312336,0.28599998,0.21277687,0.45499998,0.7690676,-28.591654,0.5794392523364487,0.53125,0.6703296703296703,0.5825242718446602,0.6555555555555556,Test
7,-10-QQDO_ME.005.wav,39.87377,0.094238155,36.87919,39.348972,43.397705,6.5185165,112.59194,199.89766,48.599857,83.82485,0.4733995,0.6451783,0.21011654,0.36965176,0.72313154,0.51301503,6.5298033,4.595011,3.7498581,2.732522,0.14411287,1.0274882,19.874712,0.40843567,-8.259626,-1.4452292,-4.7380915,-2.6064737,-14.925259,-0.94737935,0.014851546,1.391205,1.0452803,0.5796801,9.274187,0.4227584,3.5871,2.8405566,23.165617,0.40871197,801.337,0.22727638,1331.397,0.2128737,-104.52166,-0.94268715,1791.1897,0.10952085,1063.3462,0.320475,-103.76914,-0.8873933,2846.4758,0.08107781,889.6187,0.3992444,-107.94149,-0.8147723,-10.676244,-0.5169355,22.893095,0.30427563,0.06985149,0.28848234,-0.017859753,-0.71783483,0.22379339,0.7379832,25.328259,0.22533692,-13.6065235,-0.95254743,-10.710556,-1.2320011,-24.179907,-0.5114571,-5.6855626,13.880363,0.053660724,0.0008727165,0.059958417,2.5506868,1.6425756,0.3036,0.2495096,0.3231818,0.39742795,-27.110044,0.5327102803738318,0.5520833333333334,0.5164835164835165,0.6116504854368932,0.6333333333333333,Test
15,-6otZ7M-Mro.001.wav,21.731514,0.0880881,20.70749,21.352854,22.504337,1.7968464,109.88851,109.175995,15.192738,15.151505,0.728814,0.51217145,0.37281692,0.6917589,1.0681504,0.6953335,8.536831,5.1261897,4.764092,1.8076447,0.33325833,0.76119167,19.276533,0.9557924,5.7890434,2.3803573,6.3881316,1.8375165,0.9239946,14.282561,0.022751197,1.7038542,1.3011922,0.5633697,2.762381,0.61920726,-1.9300876,-3.7639112,20.995983,0.4375255,561.91406,0.3943775,1313.4169,0.13581862,-121.44236,-0.7591989,1614.6373,0.17810419,1019.64154,0.23835212,-124.934265,-0.7003503,2674.8704,0.11441682,1024.4342,0.28986818,-128.26567,-0.65140885,-13.061464,-0.49588057,25.238714,0.24967542,0.010027334,2.312017,-0.016089749,-0.89489585,0.4682285,0.5003725,32.785427,0.25767207,3.7218351,3.3683321,6.5659413,2.1758125,1.1988722,13.055388,-3.624146,12.107528,0.004212295,-0.00013433326,0.24122421,3.466318,2.296588,0.16857143,0.122314416,0.2462857,0.19277057,-22.910166,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,Train
18,-6otZ7M-Mro.004.wav,23.156557,0.08071507,21.591934,22.709974,24.71695,3.1250153,83.36756,129.04703,33.93459,44.695187,0.72930825,0.55637044,0.31328776,0.6812082,1.1019828,0.7886951,8.207534,4.8040676,5.7387094,3.1468172,0.338425,0.80244213,19.798763,0.8080861,6.224604,1.9256228,7.8464665,1.6876029,1.9100211,7.8620934,0.019181607,1.3271742,1.3080124,0.6199691,3.6614108,0.52870345,2.230566,3.2207084,24.582874,0.3640403,649.2019,0.40586257,1354.7928,0.18733764,-116.32142,-0.8104897,1704.8052,0.18079188,1055.6843,0.3160497,-119.76966,-0.7429548,2751.3538,0.11816085,1022.3447,0.3399574,-122.649,-0.6988492,-12.948201,-0.52698,24.520054,0.27327165,0.019724581,1.175882,-0.013251778,-1.3171268,0.48033813,0.53020734,31.044987,0.30419362,4.7507524,2.4128187,8.590723,1.7341343,1.0220978,17.764072,-5.7591367,14.603911,0.0055605765,0.0005142916,0.2321253,3.466318,2.3622048,0.1736111,0.10827313,0.22916666,0.24635537,-22.11878,0.4485981308411215,0.6354166666666666,0.5934065934065933,0.5922330097087379,0.611111111111111,Train
