,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
3,--Ymqszjv54.004.wav,25.517675,0.13079786,23.398891,24.662437,27.048262,3.6493702,146.47765,180.41112,24.844975,26.141758,0.9054622,1.0218005,0.21146324,0.44917455,1.5981233,1.3866601,25.06167,18.821302,11.880064,7.7552285,0.5139737,1.2994298,14.637264,1.1485101,5.982065,2.657181,0.06396898,265.42825,6.871863,1.7138547,0.015459717,1.7053212,1.2037008,0.7352807,4.81717,0.48647022,3.8986158,1.7778329,23.829826,0.54705673,542.09985,0.41017485,1339.0256,0.17604467,-131.53696,-0.698874,1578.772,0.16158807,1002.4518,0.29086146,-132.95354,-0.6652672,2711.6738,0.10256244,1009.92,0.3656337,-136.6838,-0.610339,-12.131502,-0.79790395,26.1236,0.37653944,0.016948344,1.3550192,-0.015187412,-0.9886448,0.94541866,0.6260139,31.12953,0.29004467,3.4902918,5.8517027,8.491856,2.1512449,6.020871,2.6783836,-2.913685,10.69373,0.01672112,0.0062151956,0.2679827,2.0928712,1.4445175,0.24,0.20029524,0.4755,0.68797874,-16.924803,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
12,-55DRRMTppE.005.wav,36.63118,0.22276062,35.002754,37.842796,41.627045,6.6242905,546.771,1043.4904,231.63388,327.54822,1.5547494,0.7426844,0.5996029,1.2494725,2.209825,1.6102221,25.450771,18.323912,16.67238,10.705124,0.96030784,0.8857547,18.783659,0.64279675,0.5303583,25.483196,15.718211,1.1949384,-10.817206,-2.1873653,0.020465221,1.1641791,1.1459024,0.5752028,6.012985,0.5646513,11.792093,1.0308331,17.08594,0.6673246,735.0333,0.30382645,1228.9501,0.1966769,-109.23796,-0.81367457,1806.7361,0.13507411,964.95935,0.4223176,-99.91411,-0.834778,2816.1384,0.084702514,878.23895,0.35209766,-99.35662,-0.84566927,-8.3873415,-0.89404964,17.46589,0.5425423,0.012850002,2.3967369,-0.017456407,-1.036963,1.2601086,0.724415,22.36895,0.47281542,-1.9617891,-6.2973814,16.035755,1.3134342,-19.37388,-1.1731305,-4.954656,14.331344,-0.010776681,-0.006020133,0.5893483,3.270111,3.8107755,0.13672413,0.10181775,0.11203703,0.10717551,-14.067433,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
13,-5riMLK-PgU.001.wav,24.260008,0.1651467,22.277283,23.063255,24.993559,2.7162762,238.62476,251.46857,17.20258,11.271254,0.41843873,0.53289235,0.2103801,0.38335934,0.614172,0.40379187,3.6209512,2.6688967,2.7990165,1.5764542,0.13191237,0.8119906,25.149513,0.5573154,-5.7295294,-2.1277363,14.647585,0.8212751,-0.58746475,-20.990454,0.014853914,1.0846874,1.0843768,0.6868563,4.870974,0.58232737,6.222668,0.7712081,26.523588,0.3502548,566.36414,0.40721816,1336.046,0.14635995,-117.002655,-0.81187904,1609.879,0.16732973,1064.3279,0.28488553,-120.84851,-0.7384934,2654.2017,0.11381477,943.685,0.2647194,-123.13225,-0.70363164,-14.787845,-0.46735874,23.723612,0.32097974,0.031477913,0.60533667,-0.018899359,-0.948264,0.2000936,0.54864055,37.3108,0.22365618,-0.9327858,-13.113684,17.909945,0.77326655,-2.0351868,-7.573525,-2.3616347,11.871132,0.020685012,0.008788783,0.08164066,2.7468934,1.9041367,0.2162069,0.16889936,0.31037036,0.30081964,-29.214762,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.3009708737864077,0.5555555555555556,Train
17,-6otZ7M-Mro.003.wav,24.35528,0.17190969,21.794472,23.250479,25.10199,3.307518,268.9043,404.6687,64.25025,95.766304,0.92175233,0.52238315,0.47475904,0.85013485,1.3518536,0.87709457,11.079121,5.8262434,7.311383,3.8089733,0.45452005,0.7676036,20.276121,0.7354567,3.6542466,3.806663,4.8829603,2.4304352,0.88354516,18.024244,0.033657767,1.8163084,1.3654788,0.59281856,2.8344383,0.7716252,1.7392837,3.7569501,21.741566,0.41401112,577.0014,0.4327394,1310.3857,0.15745081,-113.453575,-0.82747644,1595.4253,0.1810382,1010.9559,0.29576832,-115.08296,-0.78142416,2663.515,0.10548311,894.7737,0.31584355,-118.395256,-0.7292908,-11.4549265,-0.6168261,22.984507,0.31297895,0.025715634,0.95812386,-0.014172465,-1.2295457,0.5953644,0.5467799,28.609951,0.30967122,2.4964104,5.633898,5.681138,2.3466234,-2.0904768,-8.888138,-5.156464,14.792147,0.014781741,-0.0023909875,0.34067973,4.2511444,3.1516745,0.13229166,0.105854444,0.16787232,0.17444058,-20.52692,0.7102803738317757,0.5520833333333334,0.6813186813186812,0.7281553398058251,0.6666666666666666,Train
20,-8asrRvfJWA.001.wav,34.290207,0.08980168,32.238605,34.04386,36.483166,4.2445602,122.04574,142.75552,16.733538,12.12921,0.3409922,0.53226495,0.17494982,0.29745534,0.49664217,0.32169235,3.9696171,2.1135306,2.8869114,1.7384574,0.11065405,0.6248725,30.123499,0.29357108,1.8453406,7.7895007,2.8484755,4.3930407,-2.1064196,-5.447794,0.015702946,0.9783573,1.1582778,0.5375499,6.8363204,0.4686996,5.3711805,1.730705,20.815523,0.5407992,680.2206,0.31306556,1400.4323,0.15964417,-122.5748,-0.73260564,1692.1426,0.1661087,1163.0927,0.33027616,-120.19301,-0.7278151,2721.5237,0.12452507,1085.2505,0.3732107,-124.15529,-0.669482,-10.71245,-0.7102674,23.81589,0.36385053,0.019151341,0.9905503,-0.008166305,-1.595331,0.14700444,0.43955374,33.2182,0.2050398,-2.9334772,-5.226777,4.557426,3.228603,-5.355516,-2.460867,-12.093167,23.727217,0.005767149,-0.005266443,0.08224685,3.5317202,2.624672,0.15699999,0.092714615,0.20846152,0.2692586,-32.64369,0.4859813084112149,0.5,0.4835164835164835,0.5825242718446602,0.611111111111111,Val
24,-9BZ8A9U7TE.000.wav,39.52094,0.07630857,37.816933,39.544853,41.56391,3.7469788,188.73811,243.3013,28.893488,25.931854,1.1745495,0.5796255,0.56806856,1.0521972,1.6864464,1.1183779,17.550219,10.675747,14.228496,8.228048,0.6062723,0.80456376,12.259248,1.2069782,4.5956826,3.2955506,5.790343,2.5304718,-28.4664,-0.6593818,0.020702489,1.7248006,1.0441958,0.6305398,8.274247,0.45730215,9.490801,1.1470957,22.3377,0.46667463,680.59735,0.31542572,1357.3533,0.1611508,-107.19338,-0.86964756,1735.9293,0.14788339,1078.2584,0.3201798,-94.22689,-0.9119636,2800.862,0.07864893,802.03925,0.40733343,-95.247444,-0.8917167,-11.139363,-0.72769994,19.243814,0.48080242,0.04982542,0.4686117,-0.026799899,-0.55819505,0.7971278,0.6177579,18.331238,0.6071059,1.4436523,10.301768,2.7667208,5.55153,-37.145485,-0.4695636,-1.060429,7.143895,0.01838459,-0.009749837,0.3383083,4.054938,2.7577152,0.20190474,0.18366945,0.14725,0.1619566,-17.337412,0.3831775700934579,0.3125,0.4395604395604395,0.3495145631067961,0.4777777777777778,Train
25,-9BZ8A9U7TE.002.wav,40.68528,0.096577235,38.89302,40.913914,43.752655,4.8596344,70.758865,68.277405,40.460014,52.467327,1.1149242,0.6141951,0.47347653,0.993303,1.7403746,1.266898,18.270191,10.252226,14.910913,8.732061,0.5592039,0.83658856,9.904356,1.2746686,-0.74123996,-20.386217,5.4502106,2.646481,-29.090279,-0.699983,0.018723661,1.2136388,1.1051712,0.6473113,7.674357,0.54364026,10.665214,1.0672513,17.216396,0.55936176,730.8633,0.28287393,1346.0846,0.17322375,-106.38325,-0.8582492,1772.6454,0.13631542,1038.7277,0.35804895,-95.19173,-0.90366596,2795.248,0.081219025,879.516,0.47246024,-95.66309,-0.8929946,-8.401303,-0.86899054,16.29922,0.50438607,0.061603732,0.34116226,-0.019332562,-0.87602013,0.76143765,0.6137962,14.536541,0.6556542,-4.301964,-3.4166224,3.9383209,3.9518793,-37.83308,-0.50720984,-0.80283546,7.130801,0.043936193,-0.0040778313,0.28715822,4.5127535,2.7577152,0.1997619,0.15205713,0.13930233,0.15364403,-18.786472,0.5794392523364487,0.46875,0.4945054945054945,0.4174757281553398,0.5444444444444444,Train
26,-9BZ8A9U7TE.003.wav,38.937378,0.18065818,38.610584,40.318504,42.923134,4.3125496,99.54493,136.25665,195.7916,257.96997,0.90635115,0.6616334,0.35787714,0.79141015,1.4062135,1.0483364,13.831994,8.111268,9.736081,5.1314135,0.3951287,0.84286404,12.163872,0.9477356,2.4183087,6.433189,8.069196,1.89746,-23.414482,-0.89553386,0.020821737,1.3496135,1.1694984,0.6197347,7.147564,0.4926731,11.952748,1.0729856,19.94715,0.47403538,738.59515,0.2873738,1387.0638,0.1455572,-109.15454,-0.8474257,1764.1039,0.12790877,1096.233,0.31090623,-97.55509,-0.8897102,2796.839,0.07921597,859.741,0.45776674,-98.60785,-0.869408,-8.081141,-0.9839435,16.33099,0.5017181,0.03064894,1.0941913,-0.019353028,-0.88250554,0.52424365,0.65749556,14.954526,0.57278806,-0.10155531,-162.92484,6.079388,2.7925858,-31.801672,-0.6409457,-3.6491783,10.564677,0.014443067,-0.0046097445,0.23143624,3.793329,3.0839896,0.17212766,0.122073136,0.14,0.13752685,-21.977064,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
27,-9BZ8A9U7TE.004.wav,39.50239,0.12742022,38.159695,39.84974,42.960693,4.8009987,177.50365,304.13797,324.19177,730.25665,0.87441546,0.56914866,0.44063255,0.77849436,1.2953486,0.85471606,11.811294,6.461131,8.071296,4.310318,0.34841415,0.7499319,14.761304,0.86624813,1.8990012,8.361049,7.8909826,1.9685321,-27.69169,-0.80436605,0.019951144,1.970416,1.06092,0.6761737,7.8027296,0.44215986,7.5532403,1.4001311,18.848818,0.48609415,732.08276,0.30496404,1352.577,0.15384959,-96.64986,-0.9637916,1757.8466,0.14585328,1114.822,0.34985945,-88.04354,-0.9730044,2794.5823,0.08603546,898.19934,0.48107815,-89.55901,-0.94186676,-8.718803,-0.82868457,17.847847,0.43171826,0.034624316,0.8239914,-0.018489437,-0.97631395,0.43587488,0.606252,18.820404,0.5128449,-1.9228764,-8.248241,6.7623434,2.4818423,-36.55153,-0.5552133,-2.5684595,9.107884,0.013747842,-0.0030762863,0.21241073,3.3355134,2.6920552,0.21804878,0.18155453,0.13341463,0.120316856,-22.736708,0.5046728971962617,0.59375,0.6043956043956044,0.4174757281553398,0.611111111111111,Train
29,-AmMDnVl4s8.003.wav,34.748158,0.15968946,31.399734,33.35053,39.102867,7.7031326,346.3412,479.7753,52.263107,40.516533,0.5817297,0.49566653,0.34433484,0.51312774,0.8165943,0.47225946,5.685917,3.445476,3.4197538,1.9642029,0.17537495,0.7164927,21.41505,0.4489412,-7.99488,-2.0146039,5.30388,2.9468641,-9.335177,-1.3456607,0.02340473,1.4552647,1.288099,0.43917075,3.9797668,0.7490397,5.09455,2.0424888,13.1176,0.82471967,670.88763,0.36079425,1354.3662,0.18548498,-99.88138,-0.9143543,1652.1809,0.14358051,1079.358,0.28110352,-91.92391,-0.96501976,2674.7349,0.089960314,993.7143,0.3682453,-94.923195,-0.90790266,-5.867923,-1.0390882,16.390295,0.42508492,0.05863689,0.3314437,-0.010220777,-1.3918382,0.20189705,0.6770456,24.147099,0.32147986,-11.986244,-1.2066029,7.2858043,2.3042452,-12.087682,-1.0445702,-6.021075,15.140171,0.05309041,-0.0077658603,0.14108892,3.1393068,3.6745408,0.145,0.11551128,0.11055555,0.10499411,-29.06222,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
