,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,34.076366,0.3294819,17.299992,41.349422,42.052017,24.752026,183.70537,101.20448,124.29941,107.61107,0.68359756,0.6958905,0.39379856,0.51284885,0.7924583,0.39865974,6.9385424,5.883814,3.861249,1.8960243,0.32274202,0.54013586,23.210468,0.36664703,7.219386,1.4590777,5.8819613,1.3976527,5.1849055,3.0831354,0.006287375,1.0209122,1.1563267,0.5775534,4.021544,0.8222301,-1.3686006,-4.839384,16.48966,0.64153355,694.59015,0.25194722,1273.0817,0.18239407,-173.90825,-0.36793852,1676.7749,0.10631135,1098.68,0.18575172,-166.72548,-0.42364642,2738.9858,0.08438414,1069.3145,0.54544467,-168.26292,-0.40252423,-7.887263,-0.73282385,18.669533,0.5013093,-0.029481301,-0.6834315,-0.007937448,-1.771681,0.44622108,0.6735666,23.331041,0.34899992,-6.962077,-1.7130396,2.7319987,2.8587353,-9.639436,-1.8417667,-10.641787,25.207754,-0.029803434,-0.00013222787,0.29639775,3.2142859,1.8050542,0.088999994,0.13201894,0.40363634,0.4369995,-24.986015,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52705336,0.41716847,0.3769706,0.45246315,0.63187075,0.25490016,5.705837,5.124769,6.052965,3.1264448,0.29189557,0.40274197,19.36936,0.31965223,7.46039,1.1559243,13.630294,0.8277282,16.075806,0.53921473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.763225,24.785154,-0.044874303,0.008610564,0.29884917,4.901961,0.0,0.0,0.0,0.96,0.0,-28.43763,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,25.876976,0.44359612,17.125114,17.19992,41.550316,24.425201,77.02691,70.26402,36.313995,16.498766,0.5907128,0.40690818,0.40430775,0.5070318,0.8024959,0.39818814,4.2007666,2.4001806,2.9125152,2.2256863,0.19994816,0.56887597,21.154613,0.2334323,1.2422602,4.479233,14.618114,0.58624315,-4.277133,-4.7533755,0.012462647,0.88691115,0.72439116,0.5649972,3.9893131,0.683161,7.4039702,0.64971954,20.361256,0.4565159,598.49365,0.34559605,1295.6056,0.20275213,-117.660034,-0.7546598,1678.1799,0.1824225,1169.5146,0.33774513,-110.46594,-0.77018654,2655.3896,0.09087252,953.8391,0.327749,-112.27914,-0.74067163,-11.9838085,-0.41205353,21.748575,0.20823237,-0.030658595,-0.85791045,-0.014574868,-1.4265155,0.18446277,0.59272414,22.406797,0.22199291,2.5057964,1.7278811,13.228452,0.7450572,-12.789775,-1.7243445,-5.8685727,18.504717,-0.02831253,0.00073861267,0.21658348,4.2372885,2.5974026,0.18666665,0.103225745,0.17833334,0.122395076,-26.726366,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
12,-55DRRMTppE.005.wav,23.37321,0.4102069,17.063536,20.041807,35.06753,18.003996,90.16971,46.084396,-124.665344,172.23154,0.8470845,1.1140275,0.4396119,0.55940545,0.66636,0.22674811,13.436139,11.753907,15.123024,9.903152,0.46266404,1.7222958,19.070969,0.3048715,-3.1682448,-3.4680426,12.114007,0.8170439,13.142531,1.2475756,0.021208018,1.0090443,0.90772396,0.5585828,1.9806553,0.9901288,0.8977417,16.088171,12.840501,1.2497064,756.58307,0.32457417,1193.9471,0.31639525,-127.66666,-0.6671733,1815.2012,0.17458123,1039.1768,0.315725,-121.793686,-0.70615053,2819.0173,0.095256776,963.13904,0.24876472,-124.37567,-0.66817886,-6.2433553,-1.3295254,21.16752,0.32030284,-0.027902447,-0.75050974,0.0058561573,2.3756342,0.6841202,1.5385696,19.411242,0.30325618,-3.80677,-3.9769447,9.852967,1.0116692,8.975752,2.0355716,-3.8975585,21.205181,-0.029031524,0.0062053925,0.31459257,0.9615385,3.9408867,0.0975,0.04293891,0.15142857,0.09432899,-18.685442,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
26,-9BZ8A9U7TE.003.wav,17.000446,0.0066535915,16.900965,17.002283,17.095827,0.19486237,4.83224,1.635163,3.3823197,1.4160945,0.22902113,0.3954539,0.1557657,0.21385033,0.28125343,0.12548773,3.6481087,1.5249543,2.4196901,3.31139,0.06591147,0.68918777,15.370505,0.5201608,8.350658,0.5821883,16.464863,0.55420035,5.73966,1.7511427,0.025273306,0.8233014,1.2604766,0.50058985,2.5144913,0.37368432,19.02866,1.3406157,27.799644,0.105681226,838.44324,0.2689888,1372.9138,0.18593442,-142.60913,-0.57123137,1856.5773,0.13818824,1125.8503,0.13754629,-142.59622,-0.56248796,2911.2388,0.093698785,1125.8793,0.30251974,-143.65846,-0.5477352,-17.94453,-0.13025819,25.58525,0.08729554,-0.045666836,-0.27684233,0.009359474,0.8375647,0.060599297,0.47921208,21.598898,0.16943598,10.482068,0.318327,21.952988,0.3140201,11.0429,0.5268327,-7.9298725,15.479091,-0.0024333938,0.009267274,0.07077178,5.291005,1.6304349,0.19333334,0.080138765,0.29749998,0.11388042,-40.31669,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
28,-AmMDnVl4s8.001.wav,39.861866,0.12806083,34.03785,43.870567,44.527626,10.489777,122.493385,67.02144,24.757736,0.0,0.28027025,0.319064,0.19654335,0.26833576,0.37291637,0.17637302,1.6688852,1.0288575,1.9744791,1.7768022,0.0527514,0.5256374,16.826965,0.29786026,1.170702,6.1127195,9.045261,0.69450027,-11.848735,-0.9115468,0.03355114,1.0040267,1.4252157,0.3580764,5.0802517,0.4736063,9.585939,0.83711326,19.045238,0.2452297,695.1792,0.3542374,1503.8085,0.18412578,-113.933624,-0.77923095,1665.7007,0.12432248,1211.7706,0.3607789,-97.24063,-0.87131244,2693.7432,0.095356084,1027.6005,0.3125443,-99.54472,-0.8298775,-10.442626,-0.33314303,17.887587,0.31011984,0.054557282,0.2394733,-0.008522181,-1.0155988,0.057723068,0.5459081,18.594427,0.23917602,1.7452428,4.3615155,8.599425,0.58902127,-14.293887,-0.72871435,-6.4485335,14.227337,0.055787545,-0.0028800317,0.04821907,3.6144578,3.7974684,0.14,0.11460075,0.121999994,0.05878775,-39.7223,0.6261682242990655,0.6770833333333334,0.7142857142857143,0.5728155339805825,0.5888888888888889,Test
29,-AmMDnVl4s8.003.wav,35.138344,0.18701455,27.18016,32.09047,43.06221,15.88205,198.0415,2.3530807,18.47637,8.543418,0.25456145,0.31210148,0.1907267,0.22622924,0.3628205,0.17209381,2.448024,1.1755713,0.73971415,0.92311716,0.047134157,0.44270083,21.579664,0.2570743,-0.25056672,-38.10015,-3.7320912,-1.3991678,-11.551455,-0.49579224,0.03445564,1.8507868,1.3174977,0.39562207,2.7229362,0.7273244,1.1941409,5.392917,20.043821,0.25353432,575.2166,0.36863336,1420.9292,0.13227475,-96.38444,-1.009947,1560.9442,0.12872683,1115.4242,0.20097806,-81.65869,-1.1170846,2646.4148,0.08094723,954.98785,0.29400635,-88.24023,-0.97653955,-6.378072,-0.75035006,20.355446,0.2436471,0.048352104,0.30948713,-0.008894444,-0.91185707,0.046689063,0.41652498,22.33494,0.15359505,-4.48183,-2.2231941,-4.4700556,-1.3281704,-12.637632,-0.50103366,-10.1843405,20.050894,0.042076744,-0.007421838,0.046437126,3.773585,2.631579,0.2225,0.11776565,0.1375,0.039607447,-41.74794,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
31,-C5M9g4Quzc.002.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32229292,0.27734122,0.22816327,0.3367279,0.4109761,0.18281284,2.893088,1.1295847,1.6559025,1.2170476,0.19424273,0.40886536,14.88677,0.20441294,-0.93991804,-13.883072,22.197802,0.48559,19.293016,0.4005808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.761171,20.898272,-0.06798694,0.012889251,0.19938272,5.714286,0.0,0.0,0.0,0.98999995,0.0,-32.946365,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,19.346663,0.3257176,17.110193,17.254938,17.376287,0.2660942,46.987732,30.935774,121.42651,87.23718,0.4662215,0.31736457,0.31789455,0.46019417,0.5920277,0.27413318,3.672261,2.447784,1.6723853,1.1673608,0.19859353,0.7054955,18.083294,0.4052726,6.5295744,1.0021929,13.004173,0.57103676,6.408254,1.4886308,0.018418185,0.97888446,0.91492456,0.5914339,2.3724854,0.33011857,6.9684253,0.5718878,27.496744,0.20779073,862.1992,0.14554197,1157.1287,0.15353705,-122.65113,-0.71958804,1904.6086,0.10080962,992.9667,0.13867229,-125.231514,-0.66728777,2867.002,0.05626844,843.5359,0.26130387,-127.03145,-0.6408527,-13.262543,-0.32166168,25.864075,0.15798844,-0.04256841,-0.7516763,-0.0057326085,-1.4891355,0.12586,0.19231395,22.441902,0.2756173,7.1417418,0.7008727,13.030817,0.53158176,9.2814455,0.9278972,-11.155115,20.343128,-0.0336534,-0.009753751,0.25135872,5.3030305,3.1496062,0.125,0.0975961,0.1725,0.04602988,-29.58158,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,52.943405,0.0005984101,52.91855,52.92396,52.970383,0.051834106,0.0,0.0,-0.015208435,0.0,0.5164979,0.5254041,0.21742809,0.548644,0.8438716,0.6264435,2.5361915,0.37356496,1.5797262,1.8836337,0.17885275,0.69795054,15.231939,0.43860742,-2.5660777,-1.4447361,5.832818,0.8202509,2.6875799,4.1816673,0.025078397,0.12664135,1.0157579,0.10930831,4.3928165,0.055540953,20.486176,0.096106164,22.380829,0.056084726,782.59686,0.06075731,987.21094,0.005220844,-201.0,0.0,1863.364,0.021834673,956.1611,0.06485278,-179.50818,-0.30653554,2820.3828,0.05208321,879.5374,0.18220222,-179.78278,-0.30260274,6.168835,0.1657406,15.922347,0.04921464,-0.03162577,-0.3494049,0.014172914,0.21598983,0.24923557,0.0740092,6.2129927,0.17690615,-6.8432155,-0.1730401,3.4249518,0.4934694,16.232967,0.14359349,-3.8873339,14.259337,-0.00039556748,-0.001959428,0.14828357,3.9215686,2.1739132,0.04,0.0,0.195,0.16499999,-29.769226,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
