,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
0,--Ymqszjv54.000.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24082255,0.8116813,0.19591725,0.2045383,0.23244447,0.036527216,1.1362333,1.5546805,0.6792134,0.40328705,0.048348058,2.9649155,0.49445918,9.976341,5.5980835,1.2239441,-6.1358023,-0.8498517,5.1311626,0.76155686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-0.51356673,5.143816,0.017153017,0.011569485,0.04850913,0.3452244,0.0,0.0,0.0,8.63,0.0,-35.46935,0.4205607476635514,0.5625,0.6593406593406592,0.4757281553398058,0.5777777777777777,Test
1,--Ymqszjv54.001.wav,55.936665,0.001232991,55.87543,55.9423,56.000153,0.12472153,0.0,0.0,-0.042456627,0.0,0.23585379,0.2598891,0.19871722,0.21523975,0.26468736,0.06597014,2.4305387,2.9990418,1.9845853,2.046185,0.03892539,2.1754847,-0.27990076,-11.61679,3.6510987,1.5398794,-5.027916,-0.98525906,5.6292434,0.68317753,0.033736825,0.062084164,2.7283592,0.13213456,7.009709,0.054643102,41.102226,0.074784935,27.38816,0.036095403,748.61206,0.39693698,1411.0553,0.055158876,-200.34871,-0.038021866,1668.2474,0.2061157,1259.351,0.10152835,-197.99417,-0.10902719,2670.3032,0.06398121,1007.14154,0.059533376,-198.3136,-0.09673157,2.4451118,1.2517754,22.096561,0.069812894,0.0114560705,0.17383464,0.021366607,0.10161577,0.34601492,0.7470541,13.966079,0.22699155,-4.9562206,-2.0814729,-16.309303,-0.18735728,10.775799,0.25377247,0.45032537,4.9985046,0.018852418,0.012730697,0.033315398,1.4652015,0.37313434,0.03,0.0,2.61,0.0,-41.956497,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,Test
2,--Ymqszjv54.003.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.24981527,0.23063976,0.20591865,0.23372917,0.28313154,0.077212885,2.2251265,2.7984598,0.9086665,0.8819681,0.04044284,0.78785354,0.52201796,7.8487353,6.0601125,0.9093534,-4.223403,-1.3466254,6.143494,0.9085611,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.362179,6.9368224,0.017343113,0.010261535,0.04068223,2.078522,0.0,0.0,0.0,4.27,0.0,-42.68647,0.3925233644859813,0.4270833333333333,0.5164835164835165,0.4757281553398058,0.4666666666666667,Test
3,--Ymqszjv54.004.wav,25.185053,0.068593234,23.743649,24.103607,27.192448,3.4487991,31.849663,9.44925,18.861818,0.0,0.2768303,0.93998486,0.19869815,0.21054196,0.26346847,0.064770326,3.9806054,2.203858,3.99401,3.7110863,0.08769204,3.029008,2.8423584,2.4589865,5.707033,1.1483784,-4.2948914,-2.3904476,7.030749,0.85809404,0.024446972,0.51121914,1.3275375,0.5790602,5.816444,0.22362304,9.8954115,0.5558381,25.703564,0.650555,714.3636,0.40455702,1320.2461,0.1270302,-196.07144,-0.14721973,1859.7859,0.13920553,916.298,0.22841676,-195.90024,-0.14685948,2903.5422,0.038189616,1118.0394,0.3038795,-195.97894,-0.14425823,-22.68182,-0.23592949,33.82147,0.2048437,-0.02065943,-1.9499395,-0.0068838075,-2.5824163,0.33538997,0.34338722,23.96659,0.3475686,22.616566,0.34355956,20.019287,0.50903326,21.239548,0.35408428,-1.1221665,7.799855,0.015085344,0.011936323,0.06942299,0.16949153,0.34246576,0.074999996,0.015,5.66,0.0,-29.023876,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
4,--Ymqszjv54.005.wav,23.648087,0.03233977,22.900784,23.566004,24.466736,1.5659523,42.926678,0.0,20.826149,0.0,0.228277,0.15857378,0.20451985,0.21615009,0.24439138,0.03987153,0.83882993,0.43501425,1.1827238,1.2610708,0.039160736,0.9577522,1.380791,2.738762,6.7065,0.72419256,-4.302011,-1.2762201,5.951641,0.90253437,0.036348414,0.33876365,1.3756547,0.4336886,3.797725,0.09436162,11.31785,0.42358035,15.046587,0.1787756,974.6769,0.10829924,1187.46,0.101656,-196.38696,-0.13348916,2109.2446,0.06567875,1041.5806,0.23516679,-196.47958,-0.13066143,2894.6108,0.047466658,1314.9847,0.21758874,-196.41443,-0.13253197,-12.46096,-0.20581438,20.872858,0.10087077,-0.010623855,-1.5203427,0.009650676,0.22151189,0.042641472,0.39491245,9.805316,0.24193716,17.893696,0.10254269,6.9768887,0.560964,17.314987,0.12229402,-1.7539876,7.0493526,0.015415295,0.0116199395,0.038745496,2.1696253,0.3984064,0.055,0.035,1.62,1.8095303,-44.716602,0.2990654205607476,0.2916666666666666,0.3736263736263736,0.3203883495145631,0.3444444444444444,Test
5,-10-QQDO_ME.001.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.18952328,0.084734716,0.17893517,0.18580699,0.19465835,0.015723184,0.3865385,0.23533693,0.27740884,0.18764706,0.024148837,0.15183724,10.11842,0.19773637,-6.107261,-0.62752193,3.4242315,1.0584773,-0.3773458,-11.102721,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.7047498,8.927196,0.028934348,0.009661015,0.02418534,4.290429,0.0,0.0,0.0,6.0,0.0,-50.525158,0.5327102803738318,0.4166666666666667,0.5494505494505494,0.5631067961165048,0.6555555555555556,Test
6,-10-QQDO_ME.002.wav,32.958515,0.0018493801,32.912846,32.975845,33.007507,0.09466171,4.594326,0.0,-1.7926534,0.0,0.1964931,0.33527902,0.17783442,0.18403752,0.19092143,0.013087004,1.7951231,1.3641977,0.8973381,0.8564858,0.028283294,1.0526391,9.348973,0.39409506,-7.315935,-0.48957127,0.43628058,7.718789,-3.570426,-1.3264896,0.014609412,0.47621197,1.6895647,0.51321447,5.7329025,0.40646827,-1.3327503,-0.90008706,17.161348,0.079167,828.0942,0.15010323,1440.5848,0.10094546,-198.30441,-0.11327196,1911.0615,0.059070293,1097.2069,0.0935814,-198.46187,-0.10635133,2810.2627,0.02603823,845.6459,0.120027974,-198.45778,-0.106536426,-10.35951,-0.32811597,13.809319,0.36226553,0.077536196,0.07682622,-0.03471967,-0.10580467,0.15791826,0.12293363,26.901226,0.04012837,-19.149023,-0.15294673,-2.216629,-0.7533752,-21.586073,-0.29604867,-0.96734864,7.6459894,0.03354132,0.009117451,0.024639256,0.31496063,0.15873016,0.07,0.0,3.1,3.07,-45.64292,0.5794392523364487,0.53125,0.6703296703296703,0.5825242718446602,0.6555555555555556,Test
7,-10-QQDO_ME.005.wav,43.099236,0.10470834,40.06534,41.595142,48.003,7.93766,-20.824707,31.13239,25.415276,0.0,0.29426795,0.71405387,0.19403428,0.21038094,0.3100548,0.11602053,8.15465,6.029245,4.5484877,2.8270679,0.088480346,1.727555,15.578684,0.3588324,-5.3951507,-1.636969,1.4801952,6.02025,-7.284939,-1.253631,0.018129272,1.3123786,1.1884259,0.6137649,8.127579,0.40206048,9.092826,1.0224608,27.389055,0.3128381,786.2243,0.20050079,1353.6377,0.14402437,-174.88121,-0.37847263,1766.1321,0.09382335,1155.2415,0.5711576,-173.82042,-0.37015265,2870.9277,0.08005518,857.24243,0.27925512,-175.1884,-0.3482281,-10.740006,-0.41268507,24.668005,0.2742615,0.08122937,0.3110081,-0.012576465,-1.1658486,0.35090292,0.7728646,25.569458,0.15265591,-17.84118,-0.7035302,-15.560179,-0.6635999,-25.176176,-0.3403731,-5.348918,13.662917,0.05129878,0.00571274,0.044117823,1.744186,0.5870842,0.24,0.16990192,1.4399999,0.5752101,-31.983593,0.5327102803738318,0.5520833333333334,0.5164835164835165,0.6116504854368932,0.6333333333333333,Test
15,-6otZ7M-Mro.001.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.22232312,0.34923065,0.17246321,0.18916735,0.26648122,0.09401801,0.76767653,0.50748867,0.8973448,0.53135014,0.03893252,0.40740392,8.700085,0.25571266,0.07470682,103.41379,6.2891364,0.6036039,2.237044,1.6121494,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.8261702,12.345597,0.00023812,0.011281956,0.039692376,2.2222223,0.0,0.0,0.0,0.84,0.0,-46.496246,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,Train
18,-6otZ7M-Mro.004.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.29990488,0.5374846,0.1839095,0.21443759,0.46978426,0.28587475,3.0587618,1.4707302,2.2228339,1.8346065,0.06376027,0.7220084,9.1828575,0.65493506,-0.5579339,-14.202169,8.529044,0.61635906,2.3941064,2.1529977,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.7899077,12.656293,0.0031146097,0.0073170094,0.06407007,1.7094017,0.0,0.0,0.0,2.28,0.0,-39.594597,0.4485981308411215,0.6354166666666666,0.5934065934065933,0.5922330097087379,0.611111111111111,Train
