,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,38.17262,0.21127519,38.64094,39.82562,42.04825,3.4073067,251.92833,248.42906,181.13414,141.06685,0.8543651,0.59896153,0.4968893,0.6921786,1.151996,0.6551067,9.524628,6.98069,6.1534605,4.5745196,0.46375287,0.6907526,20.909096,0.389415,5.98357,1.8321681,12.117435,1.1364167,1.5465618,9.992605,0.02229961,1.0486476,1.2130977,0.56595975,6.9867187,0.4709168,6.827214,1.9635247,14.753054,0.9898258,726.2708,0.35415465,1304.3079,0.20445742,-167.7684,-0.39241073,1747.148,0.1567619,997.1221,0.35494065,-158.15604,-0.4560969,2809.4043,0.109573245,1006.71484,0.49097535,-159.16412,-0.4424186,-9.987897,-0.65917754,19.556753,0.431437,-0.010969644,-1.6217928,-0.013096528,-1.1891236,0.65500337,0.7185018,23.897295,0.3005273,-0.031098349,-449.45218,11.00628,1.7500392,-8.791023,-1.9438897,-9.530166,21.140226,-0.028305005,-0.00092983595,0.4069046,3.0991738,2.9075804,0.07035714,0.05381729,0.25321427,0.21761785,-21.13033,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,37.3311,0.1957954,37.450294,39.288673,40.992294,3.5419998,443.00708,587.1103,360.23938,436.3129,0.7565108,0.49772084,0.45438647,0.6515406,1.0011421,0.5467557,8.816819,4.61117,4.9255753,3.257121,0.39255717,0.4657896,22.840172,0.32432252,6.318882,1.8952305,11.723961,1.0201039,4.4002404,3.2038338,0.036555197,1.7282014,1.2252654,0.5436327,6.0623226,0.49709314,8.533535,1.5707593,18.794111,0.53358907,698.3724,0.31250456,1380.798,0.19673258,-165.50677,-0.42172116,1739.301,0.14062788,1164.376,0.3602556,-154.3265,-0.49260783,2755.512,0.11236586,1000.4181,0.4249724,-155.67717,-0.47349274,-11.764246,-0.6864341,21.573196,0.47876114,-0.011594457,-2.1184614,-0.016349908,-0.84804904,0.46106634,0.4107716,26.460089,0.24134727,-0.15215835,-99.18956,10.793045,1.437926,-6.069649,-2.1394424,-11.272192,22.520876,-0.027961483,-0.0030356634,0.37009314,4.0,2.3943663,0.09588235,0.094778925,0.31030303,0.35344607,-23.339539,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,37.3147,0.14760706,35.206318,36.81648,40.79121,5.5848923,316.2748,441.0844,49.61746,35.726154,1.6536832,0.7037124,0.68502283,1.3723129,2.3312097,1.6461868,21.449461,12.620607,15.067974,11.572105,0.97825557,0.7714336,22.553308,0.43140584,-1.2408192,-10.573889,17.906055,1.039892,-21.136002,-0.8773715,0.020004896,1.5772216,1.1316272,0.5436278,6.693,0.44390133,11.932828,1.0763048,17.103384,0.67409295,714.10016,0.31054103,1272.2882,0.19318782,-90.675354,-1.0056635,1802.2435,0.1255841,958.9897,0.45909554,-87.093834,-0.9654186,2810.7168,0.081866845,911.42285,0.5262134,-85.7902,-0.9908374,-8.642252,-0.79750043,16.446882,0.5453014,0.018607277,1.2851675,-0.024626154,-0.6084664,1.2615261,0.6169769,23.964697,0.43586424,-4.7631664,-2.7804973,18.503176,1.0752836,-26.459696,-0.6499089,-9.311036,16.753017,-0.00025380644,-0.020274717,0.52681935,3.4082108,3.4241247,0.17090909,0.13932987,0.108292684,0.08723119,-13.797043,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
31,-C5M9g4Quzc.002.wav,28.468922,0.14213374,24.780598,28.346935,31.068811,6.2882137,134.11198,205.58092,37.84164,19.643799,0.82776684,0.5685875,0.4504559,0.65347654,1.2380282,0.78757226,13.590068,9.766221,9.782951,8.716805,0.5602902,0.7718707,25.029934,0.44744593,-1.8480321,-6.0980344,16.153095,0.85208845,6.453088,2.245232,0.023664596,2.4745107,1.2955301,0.6833478,5.442698,0.4703299,2.7492023,2.6490276,18.769913,0.39681277,575.9632,0.3691096,1299.6685,0.1674351,-111.065834,-0.82769245,1577.3245,0.15147233,1038.5137,0.29028374,-111.90022,-0.7883096,2607.0103,0.10130792,958.672,0.2918789,-114.99569,-0.73808086,-12.234009,-0.49874362,22.57279,0.28351715,-0.009899791,-2.3356848,-0.01431148,-0.9611238,0.61451703,0.5268105,32.933773,0.22222936,-3.9733548,-3.2932792,13.565691,1.2391343,1.5726259,9.542807,-12.697128,20.179821,-0.040840577,0.0011225512,0.51172525,3.727145,2.8954802,0.15585366,0.1203648,0.1695122,0.14315182,-19.657824,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,30.26265,0.17409623,27.08536,31.377363,33.270615,6.185255,140.18445,96.37041,135.27135,161.55165,1.2307762,0.47739086,0.66970444,1.1612388,1.8186709,1.1489664,13.063979,6.0773296,9.041916,4.6410594,0.5846591,0.5827102,18.422468,0.67996645,0.15960965,92.47736,12.277592,1.2165483,-10.96066,-1.4792632,0.02455121,1.7569176,1.1240345,0.5708049,4.845642,0.5162016,1.7457669,6.728533,15.491642,0.67913234,752.15497,0.33922774,1240.4451,0.19873497,-113.22594,-0.82245356,1789.3027,0.16447423,959.0461,0.3365785,-109.727234,-0.8194309,2782.745,0.10171019,836.60846,0.33296022,-110.51486,-0.8057482,-9.082993,-0.5972956,18.032309,0.38828686,0.022644667,1.2684447,-0.021800863,-0.6759743,0.70862204,0.48889792,24.291132,0.3089297,-5.356524,-2.3541768,11.519917,1.4258494,-16.482878,-1.1011297,-5.596802,12.702858,0.0011256081,-0.012047985,0.48076507,4.297994,3.6664271,0.119607836,0.09403714,0.13274509,0.124034755,-18.825562,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,33.818104,0.22258757,28.440786,33.43079,41.508427,13.06764,403.0566,660.4876,278.31683,464.3801,1.2743322,0.41888344,0.7868078,1.1802262,1.7243835,0.9375757,13.119888,5.617239,7.924509,3.7703054,0.6520749,0.5644637,17.752403,0.6153491,1.914365,7.4374037,13.192047,1.0500087,-5.812907,-2.4800134,0.03593308,1.8588057,1.2284074,0.5839499,4.657461,0.6796506,4.272446,2.939343,13.050562,0.8695688,705.63043,0.41918638,1216.1069,0.23479496,-145.49387,-0.5672384,1750.2039,0.18111241,912.15674,0.31436595,-137.99068,-0.6043116,2757.5876,0.11409021,799.5761,0.35429844,-138.64803,-0.5946435,-8.304147,-0.7421034,16.578438,0.45236018,0.016797103,2.172191,-0.018352177,-0.8168279,0.81140333,0.45899552,20.908182,0.38238218,-4.589827,-3.1845188,14.158108,1.1792519,-12.899114,-1.267016,-6.605594,15.450881,-0.004394005,-0.011503694,0.5759722,4.671632,3.6005437,0.08207547,0.087725095,0.17528301,0.15280525,-18.669882,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
105,-fqiCqZtgYs.005.wav,32.176495,0.26985168,26.864357,31.090548,36.254074,9.389717,237.14656,218.08022,255.66545,603.95,1.0826288,0.47897583,0.6017525,0.9858079,1.524307,0.9225545,12.485236,7.123098,8.46339,3.9091942,0.513605,0.5981233,18.373684,0.6595834,3.0582712,3.8767173,13.120586,1.1293654,-3.9736898,-3.7603304,0.027854845,1.8251089,1.214105,0.55459625,5.0178785,0.49883476,1.5656215,9.358484,13.8507,1.164056,754.7017,0.36068878,1217.6118,0.24678697,-132.54521,-0.66079384,1773.7426,0.16107604,981.8706,0.3561759,-126.812485,-0.6832727,2759.8965,0.09742888,935.8249,0.36595464,-126.644104,-0.6888095,-8.9734955,-0.8164016,16.706478,0.6160362,0.012674334,2.0770214,-0.018569157,-0.8062708,0.6392759,0.5233147,21.56854,0.48277745,-1.0191046,-10.529827,15.520658,0.9599763,-8.887245,-1.8493427,-6.9114094,16.189388,-0.009640639,-0.010052318,0.43708876,4.424779,3.152789,0.11461538,0.07804818,0.18657894,0.20620984,-19.912863,0.3925233644859813,0.5104166666666666,0.4395604395604395,0.3980582524271845,0.5111111111111111,Train
110,-rxiLMvlZqM.002.wav,37.98805,0.10751598,36.134693,37.585045,39.70275,3.568058,329.59418,518.1875,54.320118,51.83798,0.87281287,0.56251425,0.437824,0.7732909,1.2308,0.792976,11.494926,5.2141504,8.0523,5.372616,0.43356532,0.7070609,15.002296,0.6782728,2.675082,5.3206363,6.7743483,2.3683422,-5.0707855,-2.8277738,0.019001624,1.3333191,1.2239248,0.5890317,6.0508256,0.48766404,7.872895,2.0688882,15.28238,0.7275795,602.01385,0.35230687,1351.7499,0.17131923,-139.09917,-0.62138844,1659.6683,0.14395833,1002.00665,0.30549803,-125.758354,-0.69165504,2709.5107,0.099032074,1035.9581,0.39927015,-127.03444,-0.67105144,-9.231991,-0.7871289,17.635431,0.5327214,-0.004346268,-6.4043155,-0.016047772,-0.6897434,0.5798488,0.5705943,19.860046,0.38211828,0.12925735,102.71986,6.6797676,2.925351,-12.547142,-1.0213147,-11.899925,20.767227,-0.031998202,-0.003947341,0.33505175,4.2253523,3.2714415,0.11216216,0.10147919,0.17777778,0.158642,-22.203466,0.4859813084112149,0.53125,0.5824175824175825,0.4368932038834952,0.611111111111111,Val
131,0D7W2pR4RpQ.004.wav,34.191837,0.12942906,31.736328,34.461586,37.24169,5.5053635,155.25858,150.8881,62.967144,64.015175,1.2733846,0.5480783,0.72852266,1.0683831,1.7430193,1.0144967,13.258216,8.824287,9.184004,5.041593,0.60640085,0.88764024,19.334211,0.5047376,-5.3489137,-2.6149147,4.74348,3.0094695,-11.315831,-1.2482371,0.01823482,1.7215066,1.0953361,0.4750756,5.349924,0.58554465,-2.0814786,-8.245983,10.254808,1.6607828,760.6143,0.2776022,1348.1365,0.18592785,-97.23861,-0.96893007,1753.8964,0.1339913,1079.7714,0.3419956,-96.53477,-0.93834865,2782.669,0.09576532,962.6488,0.45708495,-99.07224,-0.8910749,-6.3713717,-1.0322278,16.262875,0.4839294,0.024524711,1.2103004,-0.018094445,-0.6742147,0.7862335,0.8186515,22.64353,0.33237645,-9.810914,-1.4753267,3.7860622,4.181456,-15.55429,-0.90605414,-6.3976274,13.373005,0.014149987,-0.011813834,0.39596334,3.3707867,3.1578948,0.16238093,0.123110674,0.13682927,0.08483669,-17.871075,0.5420560747663552,0.4375,0.5384615384615384,0.5048543689320388,0.6666666666666666,Train
132,0FVu7VKIg2s.000.wav,28.899157,0.15146217,27.558414,28.55051,30.504602,2.946188,123.1041,104.50088,55.144672,42.041603,1.0306267,0.4679605,0.5485102,1.012722,1.4679023,0.9193921,11.895647,6.2333636,8.774866,3.7034938,0.531051,0.60807174,16.917562,0.86370844,11.795086,1.1488013,12.417127,0.9689849,-3.371982,-4.744364,0.017713325,1.2803279,1.1434842,0.5864391,5.376852,0.46570736,2.1999278,6.3303246,23.39869,0.41487464,647.0666,0.3983682,1346.9088,0.18338224,-113.20455,-0.8228148,1691.1029,0.15047477,1076.1458,0.34433025,-113.348045,-0.7771606,2745.4956,0.09695288,942.24585,0.34604606,-115.9627,-0.7361377,-13.290536,-0.4825172,22.305613,0.32398432,0.027995687,1.0443847,-0.02067979,-0.6286602,0.58876663,0.5973735,23.775532,0.3578955,9.325301,1.2390823,10.674179,1.2572827,-8.029903,-2.2416158,-7.364457,14.529595,0.0015610345,-0.010683052,0.48739728,4.5833335,3.2663317,0.13358974,0.10613217,0.15631579,0.10411079,-19.53854,0.3925233644859813,0.4895833333333333,0.4835164835164835,0.4174757281553398,0.5,Train
