,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
3,--Ymqszjv54.004.wav,25.599623,0.13433878,23.396933,24.66837,26.96379,3.5668583,89.43703,105.23073,37.34143,25.809362,1.2831857,0.729922,0.42466202,0.9740925,2.1689696,1.7443076,24.854404,16.705717,12.751181,7.0844836,0.78224987,0.8978768,22.938673,0.7297989,5.2043366,3.837745,3.6709538,5.2748933,5.6172814,2.5606956,0.015476843,1.7337947,1.2212443,0.6962185,4.701984,0.5272889,3.6534963,1.8909111,23.71456,0.53313494,525.6016,0.39139974,1348.195,0.1765139,-88.32602,-1.0678427,1545.3213,0.14904328,1019.9232,0.31993523,-91.74414,-0.9823209,2680.9214,0.09907038,980.7148,0.34881246,-98.00186,-0.864366,-11.802368,-0.80261505,25.993006,0.3667809,0.019101273,1.0882134,-0.015537831,-0.9582756,0.97468257,0.61741203,32.068798,0.2650541,2.123251,9.751551,8.187287,2.2373958,4.6832995,3.4696364,-5.371021,14.570851,0.01833945,-0.001796327,0.53362876,3.3084311,2.253219,0.24619047,0.2049036,0.1690909,0.134702,-14.934782,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
12,-55DRRMTppE.005.wav,38.460407,0.15426283,36.079,38.69383,42.004406,5.9254074,288.15973,534.7558,122.67492,128.55232,1.636502,0.6562359,0.7151344,1.3793861,2.2774715,1.5623372,25.42625,18.30272,16.21369,8.852804,1.0272003,0.77869016,19.274563,0.65426326,0.53219134,26.368101,16.831053,1.1726704,-15.43329,-1.44121,0.022060003,1.469716,1.1957815,0.5457861,6.5658035,0.49309474,12.984254,1.0769558,17.445698,0.6687297,742.37585,0.3156028,1240.9432,0.21850283,-105.92813,-0.84667355,1808.4762,0.1378036,938.74677,0.4287957,-97.20466,-0.8536716,2826.7224,0.0917483,881.4914,0.3985497,-95.950035,-0.87612474,-8.784079,-0.85130775,17.1226,0.5661902,0.01842222,1.5096298,-0.02088627,-0.7572425,1.3439875,0.611312,23.311129,0.4588275,-2.6480045,-4.6665697,16.903557,1.293088,-24.119244,-0.8208133,-5.231933,13.050148,-0.0073785707,-0.008167979,0.60658574,3.9423807,3.6613274,0.14791666,0.111970216,0.10723404,0.0973413,-13.662543,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
13,-5riMLK-PgU.001.wav,24.20797,0.15901718,22.25262,23.051859,24.996445,2.743824,186.43271,185.18271,17.480116,11.327087,0.47713128,0.45426968,0.26812598,0.45383266,0.6716034,0.4034774,4.0735664,2.7203906,3.1981692,1.5157337,0.1576533,0.657401,28.875612,0.47974217,-4.0390167,-2.7839847,16.516895,0.78126645,-1.5466074,-8.559353,0.01646472,1.4283643,1.1179851,0.7619364,4.835345,0.5863796,6.283295,0.7652169,26.519106,0.35179874,578.44714,0.3998105,1340.8579,0.16387564,-90.66763,-1.041975,1619.9033,0.17295545,1065.7258,0.29909763,-96.43876,-0.91750145,2659.1226,0.11610881,973.14435,0.32893398,-99.28923,-0.86583656,-14.739676,-0.47366455,23.658957,0.32594007,0.031268716,0.631289,-0.018723343,-0.9612005,0.1975264,0.5256522,37.34388,0.22551079,-1.3138987,-9.340791,18.210947,0.7633563,-2.2662134,-6.703433,-4.0870233,12.977466,0.022550227,0.0053627514,0.109054424,3.4453058,2.5108225,0.2137931,0.16361041,0.17071427,0.11128883,-28.112267,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.3009708737864077,0.5555555555555556,Train
17,-6otZ7M-Mro.003.wav,24.314116,0.17206293,21.78769,23.266624,25.015436,3.227747,281.12958,405.1627,60.601433,96.91069,0.95055753,0.49347395,0.515038,0.88784057,1.3813993,0.86636126,11.791288,5.587237,7.325789,3.7910025,0.4732956,0.7360571,21.108051,0.70809,3.665886,3.7713523,5.2010064,2.348173,0.18343374,88.76729,0.027937766,1.7040043,1.3203578,0.566775,2.8643548,0.75430626,1.7424822,3.785793,21.92787,0.41015393,564.0342,0.4370871,1304.9008,0.15822004,-109.60672,-0.86026615,1583.4417,0.17795397,1011.22894,0.3167081,-110.78559,-0.81349224,2658.9275,0.106906146,894.417,0.2859302,-114.31897,-0.7562304,-11.446241,-0.6039027,22.98338,0.31161812,0.025822576,0.92007947,-0.01441467,-1.201733,0.60181355,0.5664617,28.81652,0.30180264,2.2100685,6.2769856,6.004737,2.2420044,-2.5648713,-7.252599,-5.444434,14.850322,0.015324506,-0.0035927058,0.36083522,4.3508286,3.259362,0.13446808,0.10767976,0.1519149,0.1522685,-20.330235,0.7102803738317757,0.5520833333333334,0.6813186813186812,0.7281553398058251,0.6666666666666666,Train
20,-8asrRvfJWA.001.wav,34.452385,0.07193531,32.266525,34.063316,36.506035,4.2395096,106.29085,144.61601,14.468661,10.473045,0.36751515,0.488594,0.19922778,0.3306086,0.5284492,0.3292214,4.389628,2.1381931,2.8619561,1.6462166,0.120645955,0.56263757,30.783546,0.28827804,0.7784123,19.292276,2.9279704,4.4848104,-2.6358867,-4.5128274,0.016027302,1.2236819,1.1436816,0.52037084,6.989502,0.4354178,5.278962,1.7824926,20.768417,0.5229774,678.8015,0.31094837,1410.1602,0.17447962,-111.52676,-0.81506824,1691.5854,0.16021065,1108.2087,0.27652013,-109.63573,-0.8002937,2747.6174,0.11651519,1050.9196,0.35313475,-114.21155,-0.7296144,-10.579995,-0.71585417,23.750212,0.3632443,0.019567126,0.962244,-0.008135006,-1.5946139,0.14870137,0.43452102,33.268967,0.20204921,-3.3270812,-4.5875688,4.5782194,3.236075,-5.653896,-2.2676613,-11.688593,23.543224,0.0071294364,-0.0057260315,0.09325349,4.0090775,2.8853455,0.1618421,0.09115791,0.16447368,0.14626397,-32.07684,0.4859813084112149,0.5,0.4835164835164835,0.5825242718446602,0.611111111111111,Val
24,-9BZ8A9U7TE.000.wav,39.52197,0.074080124,37.76465,39.543373,41.497597,3.7329483,255.32414,452.62027,27.510952,25.632,1.1998742,0.5626848,0.59836525,1.0875268,1.7231326,1.1247673,17.731659,11.202148,14.258753,7.970176,0.62187165,0.76738936,13.038113,1.1233042,4.2868977,3.5952914,5.5212035,2.592378,-29.87785,-0.6044639,0.019894276,1.9367158,1.0401123,0.66235435,8.319018,0.4509293,9.559185,1.146229,22.430756,0.4669189,675.77246,0.29926398,1367.1173,0.14722617,-100.34344,-0.931715,1734.2266,0.14646842,1048.4391,0.3201874,-89.43703,-0.94661605,2811.7373,0.075650305,795.46643,0.39166915,-90.53805,-0.9238204,-11.20562,-0.7128038,19.31772,0.4735207,0.050239936,0.46829653,-0.027005874,-0.55672646,0.7832992,0.6190728,18.437263,0.59711415,1.4182324,10.550436,3.0761182,4.8619294,-37.386124,-0.45511785,-1.3116075,7.562712,0.019426541,-0.011483812,0.37024462,4.166667,2.9492455,0.19697674,0.18278894,0.122093014,0.11668997,-17.176403,0.3831775700934579,0.3125,0.4395604395604395,0.3495145631067961,0.4777777777777778,Train
25,-9BZ8A9U7TE.002.wav,40.960743,0.086793326,38.995518,41.00049,43.780296,4.7847786,72.32086,75.55993,32.67576,36.527473,1.1784858,0.56841946,0.5569456,1.053416,1.7764231,1.2194774,18.379679,10.607168,15.008561,8.0652895,0.59798187,0.7645732,10.682231,1.1919264,-2.0977437,-7.1280785,5.5548267,2.5986297,-31.411777,-0.61934644,0.020596178,1.5157593,1.1172026,0.622082,7.860796,0.5145154,10.936778,1.0350025,17.256107,0.5646543,737.603,0.29589385,1349.8289,0.19208886,-100.62554,-0.9059276,1779.9147,0.14220746,1020.1833,0.372298,-89.27111,-0.9477979,2813.5664,0.07784062,827.93304,0.40660158,-89.621506,-0.9381879,-8.404683,-0.88460743,16.386686,0.5160174,0.062532425,0.337453,-0.019397996,-0.87255937,0.77532625,0.5856522,14.779826,0.6488991,-4.805823,-3.0112,4.229215,3.6138887,-38.623493,-0.47920662,-0.46819344,6.9770565,0.04803681,-0.006301732,0.32300738,4.89709,2.8490028,0.20475,0.1526104,0.12625,0.13078012,-18.468355,0.5794392523364487,0.46875,0.4945054945054945,0.4174757281553398,0.5444444444444444,Train
26,-9BZ8A9U7TE.003.wav,40.87012,0.07988913,39.12088,40.596462,43.04744,3.9265594,48.40441,39.070805,139.9006,206.16905,0.9989637,0.57758933,0.49576482,0.86738914,1.468959,0.9731941,14.348117,8.290085,10.154329,5.098813,0.43954888,0.7402347,11.848558,0.9969216,1.4146785,11.55495,7.1124687,2.1779048,-27.846777,-0.6609207,0.022836955,1.5553056,1.1774045,0.6492588,7.5362163,0.48122087,11.3320875,0.9020735,19.467339,0.49345952,734.93396,0.2855575,1391.6703,0.17022628,-106.05462,-0.87596536,1761.723,0.1309982,1072.7054,0.30655476,-93.18501,-0.92560226,2801.1406,0.08504395,871.05493,0.48859286,-93.96778,-0.9064309,-7.14439,-1.1350232,15.37203,0.5490289,0.03733047,0.70726794,-0.021667032,-0.7247406,0.56033117,0.5818639,14.307053,0.64970726,-1.186641,-14.314682,5.139732,3.2355688,-35.648018,-0.4671674,-3.0344763,9.890932,0.017641062,-0.008261037,0.27166656,4.4062734,3.2233882,0.17139533,0.11799844,0.120952375,0.121023595,-21.426191,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
27,-9BZ8A9U7TE.004.wav,40.03376,0.096338704,38.29541,39.985023,42.973946,4.6785355,94.04107,111.763504,194.11227,541.93506,0.8999827,0.54065657,0.48634073,0.8082225,1.3109568,0.8246161,12.126287,6.5985274,7.983701,4.17439,0.35950983,0.72124165,14.623865,0.8623676,1.488751,10.78184,7.676803,2.0495915,-29.428885,-0.709484,0.022095634,2.3936362,1.0006791,0.5861525,7.995503,0.42198014,7.7502813,1.3846151,19.019424,0.460726,722.0796,0.2865664,1366.6177,0.17355976,-95.76726,-0.9768524,1752.2157,0.14512278,1086.9779,0.3313831,-87.098145,-0.9890046,2800.6511,0.082096435,821.22046,0.3640089,-88.69429,-0.9562451,-8.552697,-0.85250974,17.642422,0.44103196,0.03664431,0.74426705,-0.01938397,-0.88965464,0.4453662,0.5859249,18.752047,0.5274612,-2.21688,-7.2023845,6.3664308,2.594691,-37.70738,-0.5033946,-2.0390232,8.569588,0.015383538,-0.0044053663,0.2241184,3.4907598,2.474227,0.23944443,0.17995283,0.14914285,0.1451181,-22.58187,0.5046728971962617,0.59375,0.6043956043956044,0.4174757281553398,0.611111111111111,Train
29,-AmMDnVl4s8.003.wav,34.801132,0.15542302,31.424473,33.473385,38.44586,7.021389,360.8681,510.14542,57.559692,41.223137,0.6184288,0.4508755,0.38279128,0.5418571,0.8471277,0.4643364,5.910821,3.3830934,3.4932141,1.9304252,0.1903458,0.650886,21.694445,0.4596694,-9.349026,-1.7572975,6.9517865,2.3088586,-9.7059145,-1.3526888,0.022521485,1.3056352,1.2760782,0.4517207,4.116463,0.7271407,5.6228385,1.8985865,12.158421,0.90922385,695.6296,0.36455774,1330.9696,0.18181235,-100.45659,-0.90203977,1672.648,0.14425012,1078.2417,0.27389538,-93.031525,-0.9518561,2687.4727,0.09323281,1001.953,0.3758814,-95.626495,-0.9029105,-5.7205157,-1.0781845,15.869414,0.44052708,0.059593953,0.32815874,-0.010215074,-1.4521388,0.22103135,0.5988011,24.62053,0.3299092,-13.447671,-1.0795424,9.257524,1.8501371,-12.706963,-1.0458094,-5.58264,14.595281,0.053887997,-0.0076624034,0.1515811,3.4356728,3.7417462,0.1409804,0.11019155,0.11,0.10827025,-28.625858,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
