,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,37.62811,0.23124386,37.055397,40.053734,42.054123,4.998726,222.94446,196.47049,153.70137,136.81122,0.7937151,0.63832265,0.4493881,0.6220485,1.0133703,0.5639822,9.536218,7.7324286,5.109225,4.253528,0.41263667,0.7150753,21.531706,0.38787523,6.786311,1.6138635,9.411119,1.3273216,3.3585732,4.7485075,0.017364928,1.1540776,1.197521,0.540304,6.2660017,0.54608303,4.0745196,2.9701,14.75863,0.89066285,721.4955,0.31399465,1282.9314,0.19946952,-170.88582,-0.37647504,1723.1444,0.14112602,992.817,0.27288637,-162.1394,-0.43988377,2801.3125,0.095896065,1038.4224,0.48243907,-163.16687,-0.42400026,-9.402567,-0.6856962,19.203388,0.46607342,-0.016427755,-1.246708,-0.012434515,-1.1945103,0.60059017,0.7627024,23.6493,0.31280786,-2.1029294,-6.6926146,8.431582,2.0599236,-9.703282,-1.7675451,-9.9676075,22.73178,-0.029111737,-0.00039930374,0.36280325,2.7468934,2.4278216,0.07648648,0.0850188,0.3236111,0.3747677,-22.162476,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,37.264046,0.19219778,37.318275,39.257446,40.96688,3.6486053,618.6417,775.0234,417.19904,594.67206,0.74238575,0.50455517,0.4409751,0.6399281,0.9791918,0.5382167,8.834995,5.9408455,5.108193,3.2682388,0.3872341,0.48565882,22.364702,0.33249602,6.7290215,1.7530068,11.352108,1.0580606,5.7175126,2.4898314,0.03218204,1.7864356,1.2677565,0.55855215,6.041285,0.49488294,8.969987,1.5567012,19.269222,0.50956625,679.68835,0.30538073,1368.7767,0.1959031,-167.17429,-0.41171676,1719.8014,0.13524409,1120.8346,0.3833988,-157.54497,-0.4711856,2755.5251,0.11556696,961.3878,0.35733503,-158.87236,-0.4525615,-11.710249,-0.68677574,21.482922,0.48398086,-0.010968586,-2.379919,-0.016351659,-0.8614968,0.4607147,0.40405554,26.280859,0.24807246,-0.0719697,-209.05896,10.284111,1.5122038,-5.7484374,-2.2927346,-11.237719,22.755198,-0.029769355,-0.001994882,0.36545703,4.054938,2.230971,0.09588235,0.0810997,0.35218748,0.5303756,-23.528265,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,35.3996,0.2329181,33.43233,36.64804,41.176144,7.7438126,276.29565,417.52444,268.89935,675.41785,1.4992944,0.7795121,0.59534186,1.1724893,2.13113,1.535788,21.017027,11.777779,14.686024,13.0548525,0.8597054,0.8799243,22.058609,0.42385653,-0.46289104,-26.269672,17.006464,1.031061,-18.060797,-1.0981793,0.020070603,1.6083596,1.0839287,0.5686973,6.054346,0.5443438,11.550978,1.0779397,17.626213,0.62401015,687.92267,0.30491048,1291.9001,0.20239963,-91.91981,-0.9841027,1763.6764,0.13000153,997.03217,0.43594208,-87.57431,-0.9531975,2762.3545,0.08386542,912.5614,0.4397461,-86.78448,-0.9681162,-9.166741,-0.7356171,17.186504,0.50357443,0.011050874,2.6870534,-0.023053387,-0.6847306,1.0931432,0.74830854,23.274319,0.43777862,-2.9741178,-4.26548,17.45903,1.081312,-23.499638,-0.80407387,-8.522205,17.005415,-0.004445583,-0.016420476,0.48258328,2.7468934,3.414314,0.17173076,0.15274061,0.10916667,0.09259753,-14.473508,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
31,-C5M9g4Quzc.002.wav,28.521454,0.14162265,24.869175,28.40971,31.123558,6.254383,134.35097,205.53496,38.192253,19.534645,0.79547775,0.5986422,0.4247157,0.6208273,1.1981243,0.7734086,12.986586,9.520606,9.64062,8.189872,0.5343413,0.8002614,23.9918,0.46582785,-1.2585506,-9.065052,15.911392,0.8585146,8.082296,1.8148761,0.022983,2.5635042,1.2952753,0.6781444,5.5046754,0.44781926,2.701488,2.6964242,18.63326,0.40270612,567.4175,0.3711615,1300.0742,0.16165216,-118.65271,-0.76935935,1563.6084,0.14933032,1033.4202,0.263096,-118.92339,-0.73795235,2593.5376,0.10189039,955.9197,0.28617096,-121.73754,-0.69397444,-12.29825,-0.495033,22.671354,0.2805486,-0.010218752,-2.2572222,-0.014238751,-0.9851755,0.6159977,0.52830946,32.602074,0.2260473,-3.3962986,-3.842541,13.012742,1.292077,2.133401,7.0943756,-12.580733,20.120502,-0.043763824,0.0025187945,0.47047228,3.4009156,2.8215222,0.14674418,0.10643746,0.18767442,0.1895139,-19.935095,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,28.829388,0.21573459,24.886066,31.007347,32.8978,8.011734,155.37741,171.28033,128.79535,128.16438,1.1680204,0.51850563,0.57944375,1.0789069,1.7695246,1.1900809,12.90201,6.735142,8.636765,4.675958,0.55006975,0.63996357,18.155725,0.66918147,1.0931668,13.131215,11.8227,1.2236018,-8.878896,-1.8524758,0.024095114,1.6476506,1.1331578,0.60483265,4.456087,0.5929658,1.8495476,6.4169,16.51057,0.67048,761.6521,0.3285511,1254.0725,0.20948452,-109.0543,-0.8544044,1788.0272,0.16372657,1002.99554,0.34801328,-106.29269,-0.8431206,2781.511,0.0989887,829.9888,0.368719,-107.33161,-0.8254045,-9.489573,-0.5768685,18.63419,0.38397548,0.016598403,2.0898871,-0.020227673,-0.75384194,0.6590704,0.55289567,23.763754,0.31216764,-3.6777723,-3.4583786,11.195511,1.4030597,-13.515292,-1.4104663,-5.8334284,13.067578,-0.002073121,-0.01168602,0.45039418,3.9895356,3.543307,0.13018519,0.11345567,0.13166666,0.11866151,-19.16724,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,33.97628,0.22532937,28.349672,33.634525,41.76606,13.416388,278.9459,245.38391,193.16104,140.34283,1.2527779,0.435512,0.76251733,1.1533542,1.704158,0.9416406,12.754982,5.6373954,7.8723907,3.8508925,0.6382759,0.58741075,17.355446,0.62344664,2.2396212,6.259123,12.34761,1.1146622,-4.8528094,-2.9750838,0.027718449,1.7408358,1.2085762,0.59202677,4.5158277,0.685581,4.889683,2.552722,13.397034,0.8183692,719.4136,0.4030701,1183.6058,0.22045447,-144.29897,-0.57467216,1754.1492,0.17419268,960.6326,0.3778776,-136.53473,-0.61167854,2747.416,0.10813253,782.6861,0.26785725,-136.80579,-0.6055147,-8.148146,-0.7717748,16.556288,0.45113903,0.01575896,2.327629,-0.017740801,-0.8601895,0.81399894,0.46816245,20.461136,0.39404505,-4.0546584,-3.5067265,13.629312,1.2155427,-11.4241705,-1.4388237,-6.41521,15.341028,-0.00499699,-0.011098637,0.5507978,4.643558,3.7401576,0.08122806,0.08628941,0.16578947,0.14750496,-18.779554,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
105,-fqiCqZtgYs.005.wav,31.32239,0.3400404,24.813885,30.092203,36.275272,11.461388,218.237,151.84732,107.62846,102.07103,0.9623496,0.56017745,0.4510637,0.85243225,1.4323919,0.9813282,12.447294,7.710557,8.266171,4.5438643,0.4453401,0.7006006,18.784523,0.6139076,2.4439845,4.766578,10.881086,1.2875569,0.17844772,90.21528,0.029451191,1.4686996,1.1400223,0.54608744,4.6424623,0.5958682,4.598151,3.8645256,15.662714,1.129173,744.18805,0.34503788,1194.468,0.2261979,-134.71637,-0.6438341,1787.1873,0.15448949,967.5818,0.3019796,-128.9968,-0.6680765,2784.8892,0.09699417,939.1746,0.36230767,-129.49593,-0.66268,-9.419489,-0.8111173,18.353077,0.5667512,0.003950429,7.906857,-0.01729577,-0.83987886,0.56518364,0.6345091,21.794353,0.46563315,0.18865088,56.7566,13.321154,1.1005663,-6.4886165,-2.5019698,-6.603228,16.594292,-0.01615188,-0.0074416767,0.37286076,3.5971222,3.0203547,0.117391296,0.081037685,0.19777778,0.24787891,-20.715872,0.3925233644859813,0.5104166666666666,0.4395604395604395,0.3980582524271845,0.5111111111111111,Train
110,-rxiLMvlZqM.002.wav,38.748722,0.14338303,36.196724,37.769363,40.131466,3.934742,307.36795,481.85583,143.85654,206.7658,0.7382493,0.67739016,0.27818498,0.62392473,1.1091596,0.8309746,12.652144,8.0507145,7.186417,4.7850323,0.36748552,0.823818,14.028321,0.68817776,3.3657832,3.8920357,5.5568705,2.6497223,-1.5672837,-8.814772,0.024145825,1.6239609,1.2485425,0.5736844,6.0115876,0.48851195,7.6071234,2.0983427,14.885639,0.77289075,596.8272,0.34722036,1321.7969,0.17838284,-153.92941,-0.5141448,1656.8356,0.14528604,981.14624,0.2734564,-143.23341,-0.5730041,2712.583,0.09194148,982.46533,0.44794625,-143.50093,-0.56269854,-9.282372,-0.76001877,17.735798,0.5140571,-0.0036086626,-8.092934,-0.014719985,-0.81166565,0.55822927,0.6187966,19.220203,0.3800077,0.012065135,1090.7135,4.827921,4.191807,-11.650706,-1.091335,-13.606051,23.785685,-0.04220013,0.00012775075,0.28091964,3.5317202,2.7559056,0.10285714,0.09394238,0.2574359,0.3863286,-23.20649,0.4859813084112149,0.53125,0.5824175824175825,0.4368932038834952,0.611111111111111,Val
131,0D7W2pR4RpQ.004.wav,34.55164,0.15743105,31.692652,34.543755,38.07567,6.3830166,361.81134,628.45544,74.51529,54.970486,1.2021091,0.57700866,0.66853034,1.0035344,1.5988863,0.9303559,12.714868,8.956104,8.748735,5.2049055,0.5534525,0.9255712,18.00897,0.5623203,-4.2591343,-3.1755142,3.8420382,3.5689793,-9.641343,-1.4465361,0.019019915,1.5899364,1.0867049,0.48572278,5.2239275,0.6056193,-2.1050916,-8.39023,9.589327,1.7929202,754.07166,0.29040483,1362.617,0.1889457,-107.66687,-0.8694542,1744.6298,0.13533245,1067.2927,0.29007077,-105.87188,-0.85768074,2771.931,0.09536318,950.1606,0.3929393,-108.26917,-0.81612283,-6.36096,-1.0347812,15.929733,0.5014973,0.025772974,1.1657333,-0.017931534,-0.68312865,0.7436993,0.8310993,21.77366,0.37705725,-9.017954,-1.5973018,3.2375276,4.8174467,-14.427853,-0.9853289,-6.0441713,13.420712,0.010168328,-0.009614661,0.37063414,3.3355134,3.215223,0.14428571,0.11619827,0.15212765,0.14458945,-18.35629,0.5420560747663552,0.4375,0.5384615384615384,0.5048543689320388,0.6666666666666666,Train
132,0FVu7VKIg2s.000.wav,26.263477,0.2379359,18.972996,28.096378,29.619955,10.646959,125.224686,97.94703,78.942955,56.586742,0.88253975,0.5968999,0.3561409,0.8135292,1.3756868,1.0195458,11.084688,6.194823,7.9680324,4.075966,0.45399153,0.7251107,18.395761,0.7451526,13.307567,0.97640586,12.520738,0.9020747,-0.4526831,-33.95743,0.022820005,1.701249,1.1116159,0.5915534,4.7264924,0.5634053,3.7956722,3.1587954,25.440815,0.38672146,652.24884,0.4063596,1373.5677,0.18782611,-112.696175,-0.81533575,1698.1617,0.14977722,1103.5261,0.3093517,-113.66685,-0.7630508,2756.016,0.10039928,980.2105,0.3119433,-116.2925,-0.72241306,-15.236625,-0.46315137,24.423029,0.32604143,0.013188703,2.9036715,-0.017310692,-0.798716,0.48092413,0.7642248,24.175066,0.33148995,12.04949,0.97363585,11.4752865,1.0992075,-3.3574855,-5.262924,-9.5157995,17.175737,-0.0027290173,-0.00982627,0.43212193,3.9895356,3.1516745,0.14104167,0.10930157,0.1593617,0.15086143,-20.42158,0.3925233644859813,0.4895833333333333,0.4835164835164835,0.4174757281553398,0.5,Train
