,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,34.076366,0.3294819,17.299992,41.349422,42.052017,24.752026,183.70537,101.20448,124.29941,107.61107,0.68359756,0.6958905,0.39379856,0.51284885,0.7924583,0.39865974,6.9385424,5.883814,3.861249,1.8960243,0.32274202,0.54013586,23.210468,0.36664703,7.219386,1.4590777,5.8819613,1.3976527,5.1849055,3.0831354,0.006287375,1.0209122,1.1563267,0.5775534,4.021544,0.8222301,-1.3686006,-4.839384,16.48966,0.64153355,694.59015,0.25194722,1273.0817,0.18239407,-173.90825,-0.36793852,1676.7749,0.10631135,1098.68,0.18575172,-166.72548,-0.42364642,2738.9858,0.08438414,1069.3145,0.54544467,-168.26292,-0.40252423,-7.887263,-0.73282385,18.669533,0.5013093,-0.029481301,-0.6834315,-0.007937448,-1.771681,0.44622108,0.6735666,23.331041,0.34899992,-6.962077,-1.7130396,2.7319987,2.8587353,-9.639436,-1.8417667,-10.641787,25.207754,-0.029803434,-0.00013222787,0.29639775,3.2142859,1.8050542,0.088999994,0.13201894,0.40363634,0.4369995,-24.986015,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.52705336,0.41716847,0.3769706,0.45246315,0.63187075,0.25490016,5.705837,5.124769,6.052965,3.1264448,0.29189557,0.40274197,19.36936,0.31965223,7.46039,1.1559243,13.630294,0.8277282,16.075806,0.53921473,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-10.763225,24.785154,-0.044874303,0.008610564,0.29884917,4.901961,0.0,0.0,0.0,0.96,0.0,-28.43763,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,25.876976,0.44359612,17.125114,17.19992,41.550316,24.425201,77.02691,70.26402,36.313995,16.498766,0.5907128,0.40690818,0.40430775,0.5070318,0.8024959,0.39818814,4.2007666,2.4001806,2.9125152,2.2256863,0.19994816,0.56887597,21.154613,0.2334323,1.2422602,4.479233,14.618114,0.58624315,-4.277133,-4.7533755,0.012462647,0.88691115,0.72439116,0.5649972,3.9893131,0.683161,7.4039702,0.64971954,20.361256,0.4565159,598.49365,0.34559605,1295.6056,0.20275213,-117.660034,-0.7546598,1678.1799,0.1824225,1169.5146,0.33774513,-110.46594,-0.77018654,2655.3896,0.09087252,953.8391,0.327749,-112.27914,-0.74067163,-11.9838085,-0.41205353,21.748575,0.20823237,-0.030658595,-0.85791045,-0.014574868,-1.4265155,0.18446277,0.59272414,22.406797,0.22199291,2.5057964,1.7278811,13.228452,0.7450572,-12.789775,-1.7243445,-5.8685727,18.504717,-0.02831253,0.00073861267,0.21658348,4.2372885,2.5974026,0.18666665,0.103225745,0.17833334,0.122395076,-26.726366,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
31,-C5M9g4Quzc.002.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.32229292,0.27734122,0.22816327,0.3367279,0.4109761,0.18281284,2.893088,1.1295847,1.6559025,1.2170476,0.19424273,0.40886536,14.88677,0.20441294,-0.93991804,-13.883072,22.197802,0.48559,19.293016,0.4005808,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-12.761171,20.898272,-0.06798694,0.012889251,0.19938272,5.714286,0.0,0.0,0.0,0.98999995,0.0,-32.946365,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,19.346663,0.3257176,17.110193,17.254938,17.376287,0.2660942,46.987732,30.935774,121.42651,87.23718,0.4662215,0.31736457,0.31789455,0.46019417,0.5920277,0.27413318,3.672261,2.447784,1.6723853,1.1673608,0.19859353,0.7054955,18.083294,0.4052726,6.5295744,1.0021929,13.004173,0.57103676,6.408254,1.4886308,0.018418185,0.97888446,0.91492456,0.5914339,2.3724854,0.33011857,6.9684253,0.5718878,27.496744,0.20779073,862.1992,0.14554197,1157.1287,0.15353705,-122.65113,-0.71958804,1904.6086,0.10080962,992.9667,0.13867229,-125.231514,-0.66728777,2867.002,0.05626844,843.5359,0.26130387,-127.03145,-0.6408527,-13.262543,-0.32166168,25.864075,0.15798844,-0.04256841,-0.7516763,-0.0057326085,-1.4891355,0.12586,0.19231395,22.441902,0.2756173,7.1417418,0.7008727,13.030817,0.53158176,9.2814455,0.9278972,-11.155115,20.343128,-0.0336534,-0.009753751,0.25135872,5.3030305,3.1496062,0.125,0.0975961,0.1725,0.04602988,-29.58158,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,52.943405,0.0005984101,52.91855,52.92396,52.970383,0.051834106,0.0,0.0,-0.015208435,0.0,0.5164979,0.5254041,0.21742809,0.548644,0.8438716,0.6264435,2.5361915,0.37356496,1.5797262,1.8836337,0.17885275,0.69795054,15.231939,0.43860742,-2.5660777,-1.4447361,5.832818,0.8202509,2.6875799,4.1816673,0.025078397,0.12664135,1.0157579,0.10930831,4.3928165,0.055540953,20.486176,0.096106164,22.380829,0.056084726,782.59686,0.06075731,987.21094,0.005220844,-201.0,0.0,1863.364,0.021834673,956.1611,0.06485278,-179.50818,-0.30653554,2820.3828,0.05208321,879.5374,0.18220222,-179.78278,-0.30260274,6.168835,0.1657406,15.922347,0.04921464,-0.03162577,-0.3494049,0.014172914,0.21598983,0.24923557,0.0740092,6.2129927,0.17690615,-6.8432155,-0.1730401,3.4249518,0.4934694,16.232967,0.14359349,-3.8873339,14.259337,-0.00039556748,-0.001959428,0.14828357,3.9215686,2.1739132,0.04,0.0,0.195,0.16499999,-29.769226,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
105,-fqiCqZtgYs.005.wav,30.3611,0.63417596,16.542631,18.423273,58.091385,41.54875,82.69923,0.0,-0.0043786094,0.0,0.4251283,0.32473043,0.2956081,0.3967286,0.55475825,0.25915015,4.0515895,4.2149177,1.7040653,0.8433575,0.15490285,0.676129,21.929974,0.34081352,-2.3383126,-3.9898727,3.9095476,1.5461165,15.200038,0.7232664,0.037138514,0.7686421,1.1190429,0.47166374,3.3961098,0.9978632,22.878706,1.0278379,28.331581,0.6374044,670.4058,0.20758589,1169.1167,0.09472909,-163.29872,-0.45353186,1709.6754,0.14800876,1018.67413,0.13269886,-152.65042,-0.5188101,2719.5176,0.091110274,970.7255,0.29770195,-155.483,-0.47271934,-10.136991,-0.9624065,27.784063,0.15298346,-0.042395476,-0.24658147,-0.007533851,-1.1717833,0.13757634,0.6240828,25.203064,0.26238975,1.4936417,6.8462358,2.6157928,2.5898542,6.105541,1.4977072,-6.40156,18.34889,-0.040819842,-0.00035809295,0.16206583,2.4561405,1.4285715,0.175,0.10404326,0.5,0.44051105,-31.255993,0.3925233644859813,0.5104166666666666,0.4395604395604395,0.3980582524271845,0.5111111111111111,Train
110,-rxiLMvlZqM.002.wav,55.66712,0.09497755,49.082405,56.970543,60.938366,11.855961,120.1077,0.0,170.44302,0.0,0.33774075,0.68347114,0.22236532,0.2599599,0.3838615,0.16149619,11.486993,14.03839,3.0122797,2.9527924,0.18757394,0.9670523,12.567447,0.608179,3.594988,2.5866628,4.5637617,1.9919242,5.564519,1.4883271,0.054598358,0.46445042,1.7055331,0.14118671,6.1057177,0.38776085,3.8771732,2.8604608,9.082792,1.830752,557.5466,0.23261552,1108.6387,0.23394589,-198.68082,-0.11197474,1569.2472,0.083183676,1083.4825,0.12229699,-196.52689,-0.14344592,2645.8076,0.048257362,915.7175,0.30290022,-192.51013,-0.19432697,-10.316139,-0.21200556,22.386335,0.09301579,0.023679994,1.5067135,0.006914604,0.6958505,0.051212713,0.53025025,12.504083,0.21314645,-12.557764,-0.4259551,-20.972326,-0.41428533,-16.009834,-0.3368845,-16.901978,29.367785,-0.059550952,0.006914034,0.1955331,2.3017905,0.25906736,0.17,0.0,1.8299999,1.6899999,-29.643513,0.4859813084112149,0.53125,0.5824175824175825,0.4368932038834952,0.611111111111111,Val
131,0D7W2pR4RpQ.004.wav,42.623528,0.22134127,41.63754,46.042633,50.095192,8.457653,1.5006542,0.0,130.35208,0.0,0.68616855,0.5077648,0.34487915,0.6390456,0.919242,0.5743629,7.526381,2.9842005,4.143222,1.7808799,0.23375462,0.98453474,10.81057,0.83458096,0.5597536,11.999863,1.3428972,5.8419347,-2.1543894,-3.2272995,0.021711646,1.0997314,1.5106006,0.35633254,3.174413,0.8976014,5.9874196,1.9261352,4.268156,1.6017154,882.24207,0.20077004,1275.3892,0.11773948,-178.65259,-0.31703556,1815.2007,0.11315103,1086.3451,0.11117789,-175.12657,-0.35339844,2777.4778,0.06175346,1079.6948,0.3627748,-176.11966,-0.33740112,-4.7142353,-0.96477133,10.0105915,0.606985,0.040416498,0.6196963,-0.009387152,-0.7307158,0.17416364,0.47754914,8.778508,0.44458422,-0.13732761,-40.687702,-2.8726702,-1.9373926,-4.1244307,-1.7460454,-5.375326,13.601004,-0.0044183666,-0.0023144188,0.2500603,3.6458335,1.6042781,0.07333333,0.04027682,0.39499998,0.31100643,-26.77298,0.5420560747663552,0.4375,0.5384615384615384,0.5048543689320388,0.6666666666666666,Train
132,0FVu7VKIg2s.000.wav,17.73011,0.16992837,14.814428,17.891367,19.166733,4.3523045,18.646536,5.282641,52.391754,19.244152,0.32643235,0.5828496,0.1689336,0.3056583,0.4167379,0.24780431,5.4901977,3.0800583,1.0983999,0.51555765,0.17020033,0.70719326,25.052713,0.23393299,16.436499,0.56242085,15.405061,0.455151,6.934891,1.2250861,0.02103463,0.97793275,0.915948,0.721416,2.6274216,0.7106629,9.899913,1.1457838,30.771553,0.26967764,710.34894,0.32418472,1466.3254,0.15500607,-119.78158,-0.7090618,1741.9238,0.16118969,1250.921,0.24222417,-124.01516,-0.6483714,2791.2827,0.11650215,1019.95953,0.23529238,-125.75973,-0.6242483,-21.571817,-0.26389724,31.223589,0.2185505,-0.033823844,-0.7223838,-0.005656576,-1.8533127,0.12546498,0.89210176,25.803448,0.19985583,18.827461,0.4959518,17.105053,0.4585275,8.076747,0.89055884,-18.16931,27.588505,-0.025267249,-0.006244956,0.20096679,3.3536587,3.10559,0.13499999,0.105285324,0.16700001,0.281,-29.05445,0.3925233644859813,0.4895833333333333,0.4835164835164835,0.4174757281553398,0.5,Train
