,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
3,--Ymqszjv54.004.wav,25.185053,0.068593234,23.743649,24.103607,27.192448,3.4487991,31.849663,9.44925,18.861818,0.0,0.2768303,0.93998486,0.19869815,0.21054196,0.26346847,0.064770326,3.9806054,2.203858,3.99401,3.7110863,0.08769204,3.029008,2.8423584,2.4589865,5.707033,1.1483784,-4.2948914,-2.3904476,7.030749,0.85809404,0.024446972,0.51121914,1.3275375,0.5790602,5.816444,0.22362304,9.8954115,0.5558381,25.703564,0.650555,714.3636,0.40455702,1320.2461,0.1270302,-196.07144,-0.14721973,1859.7859,0.13920553,916.298,0.22841676,-195.90024,-0.14685948,2903.5422,0.038189616,1118.0394,0.3038795,-195.97894,-0.14425823,-22.68182,-0.23592949,33.82147,0.2048437,-0.02065943,-1.9499395,-0.0068838075,-2.5824163,0.33538997,0.34338722,23.96659,0.3475686,22.616566,0.34355956,20.019287,0.50903326,21.239548,0.35408428,-1.1221665,7.799855,0.015085344,0.011936323,0.06942299,0.16949153,0.34246576,0.074999996,0.015,5.66,0.0,-29.023876,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
12,-55DRRMTppE.005.wav,23.37321,0.4102069,17.063536,20.041807,35.06753,18.003996,90.16971,46.084396,-124.665344,172.23154,0.8470845,1.1140275,0.4396119,0.55940545,0.66636,0.22674811,13.436139,11.753907,15.123024,9.903152,0.46266404,1.7222958,19.070969,0.3048715,-3.1682448,-3.4680426,12.114007,0.8170439,13.142531,1.2475756,0.021208018,1.0090443,0.90772396,0.5585828,1.9806553,0.9901288,0.8977417,16.088171,12.840501,1.2497064,756.58307,0.32457417,1193.9471,0.31639525,-127.66666,-0.6671733,1815.2012,0.17458123,1039.1768,0.315725,-121.793686,-0.70615053,2819.0173,0.095256776,963.13904,0.24876472,-124.37567,-0.66817886,-6.2433553,-1.3295254,21.16752,0.32030284,-0.027902447,-0.75050974,0.0058561573,2.3756342,0.6841202,1.5385696,19.411242,0.30325618,-3.80677,-3.9769447,9.852967,1.0116692,8.975752,2.0355716,-3.8975585,21.205181,-0.029031524,0.0062053925,0.31459257,0.9615385,3.9408867,0.0975,0.04293891,0.15142857,0.09432899,-18.685442,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
13,-5riMLK-PgU.001.wav,24.281528,0.00083440257,24.265205,24.278597,24.291233,0.02602768,0.9370804,0.0,2.9144287,0.0,0.23451178,0.49326524,0.14243887,0.20903659,0.36623582,0.22379695,1.734771,1.0155139,1.7483958,1.7799096,0.046685945,0.73456943,14.373231,0.4466113,-12.736234,-0.99691224,10.527179,0.68461376,-0.25286466,-32.813854,0.007201054,0.27221265,0.31904185,0.5413679,4.900519,0.4805827,5.375848,0.1464064,32.631332,0.035598714,361.13373,0.034041937,1454.2334,0.01804889,-198.1823,-0.11438838,1194.0277,0.017116,1062.1996,0.018532343,-198.31429,-0.10906578,2410.8816,0.006495305,726.9748,0.1051743,-198.58812,-0.097733065,-14.402366,-0.02535588,27.16136,0.058570117,0.046942372,0.09302451,-0.03689334,-0.10937854,0.10461898,0.09656062,43.12925,0.036076307,3.4824293,0.16501339,10.531697,0.0961784,-25.35595,-0.109775774,0.023530241,10.438852,0.019467596,0.0129627455,0.04676136,2.7322404,0.27700832,0.04,0.0,3.55,0.0,-41.132786,0.5046728971962617,0.3333333333333333,0.5164835164835165,0.3009708737864077,0.5555555555555556,Train
17,-6otZ7M-Mro.003.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3210781,0.5261131,0.18512312,0.21832977,0.53465915,0.34953603,1.5006585,0.21079999,0.115511894,0.94498336,0.07585077,0.72930694,9.952112,0.58218086,-3.2204127,-3.3905742,6.947593,0.5539709,2.74936,1.7586393,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-3.2926543,13.794548,0.003677779,0.011359147,0.069590084,2.5000002,0.0,0.0,0.0,0.74,0.0,-39.547695,0.7102803738317757,0.5520833333333334,0.6813186813186812,0.7281553398058251,0.6666666666666666,Train
20,-8asrRvfJWA.001.wav,13.845051,0.0032386675,13.810996,13.825839,13.879367,0.06837082,1.3253689,0.0,4.2841597,0.0,0.16687685,0.2144596,0.13278805,0.17139778,0.18993954,0.057151496,0.63380533,0.27350935,0.3679006,0.118626475,0.042654593,0.26784778,26.549343,0.27580774,6.8260946,0.9534409,4.1428986,1.8035485,-0.8175989,-7.3328357,0.013633399,0.05650059,1.0842538,0.5490184,-3.1117127,-0.09087845,8.749605,0.277603,25.140074,0.06450082,676.4432,0.19589119,1414.7025,0.033515424,-195.37056,-0.1512304,1691.8894,0.049634885,1216.5143,0.058661025,-195.84204,-0.1379913,2661.2693,0.0412363,973.2861,0.08857881,-195.94061,-0.13551392,-19.781872,-0.08212132,29.218239,0.018715337,0.005523478,1.4381697,-0.0064068222,-0.33644623,0.040060606,0.29505572,31.262037,0.052119415,12.235498,0.05720566,9.415953,0.27673277,-2.9964597,-1.0448009,-13.522762,24.239655,0.0007688328,-0.0034078914,0.043111492,4.3689322,0.49751243,0.049999997,0.0,0.965,0.91499996,-44.10233,0.4859813084112149,0.5,0.4835164835164835,0.5825242718446602,0.611111111111111,Val
24,-9BZ8A9U7TE.000.wav,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.51667655,0.3182097,0.34757406,0.4592588,0.7102796,0.36270553,4.209646,2.9885044,0.107395254,1.4535844,0.13090928,0.4554914,-2.224712,-2.909079,5.5076566,1.0713516,20.851841,0.27019286,-6.400796,-1.4276298,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,-201.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.940581,1.9850752,0.00439176,0.0044500106,0.13999642,3.1746032,0.0,0.0,0.0,0.57,0.0,-35.65232,0.3831775700934579,0.3125,0.4395604395604395,0.3495145631067961,0.4777777777777778,Train
25,-9BZ8A9U7TE.002.wav,29.040493,0.00040184802,29.029253,29.044819,29.050018,0.020765305,0.8096695,0.0,0.12168883,0.42079413,0.32351843,0.46445748,0.2341617,0.33576715,0.41328192,0.17912021,2.218693,1.3440295,1.8287654,0.9855204,0.07313958,1.2000474,2.7400968,2.2296734,11.731623,0.5525574,8.128004,1.3943669,-6.445554,-1.1244588,0.0059763747,0.2766486,0.94298095,0.36429626,0.5634215,1.497591,-1.1307981,-2.498351,10.272817,0.4375044,505.7844,0.18688385,1276.9486,0.13918017,-172.38788,-0.38162565,1546.7654,0.053108476,1098.3497,0.13292971,-173.94603,-0.35689282,2405.835,0.036455408,972.9012,0.1419616,-174.157,-0.3535784,-8.008142,-0.14896426,14.705317,0.11768768,0.017527103,0.7414761,-0.013309663,-0.13608645,0.03242688,0.3236246,8.683213,0.4360139,10.815086,0.20743503,3.4879785,2.6908562,-12.692608,-0.21374477,-2.9921112,8.297689,0.024310734,0.006190312,0.08681756,2.542373,1.7699115,0.07,0.02,0.31333333,0.13719411,-39.127995,0.5794392523364487,0.46875,0.4945054945054945,0.4174757281553398,0.5444444444444444,Train
26,-9BZ8A9U7TE.003.wav,17.000446,0.0066535915,16.900965,17.002283,17.095827,0.19486237,4.83224,1.635163,3.3823197,1.4160945,0.22902113,0.3954539,0.1557657,0.21385033,0.28125343,0.12548773,3.6481087,1.5249543,2.4196901,3.31139,0.06591147,0.68918777,15.370505,0.5201608,8.350658,0.5821883,16.464863,0.55420035,5.73966,1.7511427,0.025273306,0.8233014,1.2604766,0.50058985,2.5144913,0.37368432,19.02866,1.3406157,27.799644,0.105681226,838.44324,0.2689888,1372.9138,0.18593442,-142.60913,-0.57123137,1856.5773,0.13818824,1125.8503,0.13754629,-142.59622,-0.56248796,2911.2388,0.093698785,1125.8793,0.30251974,-143.65846,-0.5477352,-17.94453,-0.13025819,25.58525,0.08729554,-0.045666836,-0.27684233,0.009359474,0.8375647,0.060599297,0.47921208,21.598898,0.16943598,10.482068,0.318327,21.952988,0.3140201,11.0429,0.5268327,-7.9298725,15.479091,-0.0024333938,0.009267274,0.07077178,5.291005,1.6304349,0.19333334,0.080138765,0.29749998,0.11388042,-40.31669,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
27,-9BZ8A9U7TE.004.wav,21.383657,0.0078796325,21.18903,21.415049,21.526257,0.33722687,10.180506,4.053974,-0.029161135,4.499922,0.27702513,1.1123018,0.14510983,0.18816365,0.24832724,0.10321741,1.2784522,0.19224948,3.4985132,2.2853017,0.09942727,1.3121549,17.914373,0.76829445,9.765995,0.36938646,13.726717,0.4020078,9.946652,1.2507294,0.041269332,0.6993808,1.4660163,0.38741174,2.8454564,0.3078994,1.2470422,4.095789,16.171673,0.23001999,922.2368,0.19518268,1229.8613,0.12216824,-152.39604,-0.47624445,1963.6554,0.105191015,1093.2504,0.1790797,-152.31064,-0.45403668,2926.8323,0.08772483,949.3927,0.12878229,-153.23991,-0.44317475,-15.095113,-0.19857155,25.642576,0.14526638,-0.016575595,-1.3108805,0.015824553,0.5225913,0.0577616,0.5015839,21.671972,0.19027266,9.069448,0.28184548,13.567841,0.34414208,13.273905,0.5019068,-10.606588,18.844398,-0.013739922,0.013139693,0.12024865,1.5151516,4.9180326,0.046666663,0.020548046,0.099999994,0.088600226,-32.4814,0.5046728971962617,0.59375,0.6043956043956044,0.4174757281553398,0.611111111111111,Train
29,-AmMDnVl4s8.003.wav,35.138344,0.18701455,27.18016,32.09047,43.06221,15.88205,198.0415,2.3530807,18.47637,8.543418,0.25456145,0.31210148,0.1907267,0.22622924,0.3628205,0.17209381,2.448024,1.1755713,0.73971415,0.92311716,0.047134157,0.44270083,21.579664,0.2570743,-0.25056672,-38.10015,-3.7320912,-1.3991678,-11.551455,-0.49579224,0.03445564,1.8507868,1.3174977,0.39562207,2.7229362,0.7273244,1.1941409,5.392917,20.043821,0.25353432,575.2166,0.36863336,1420.9292,0.13227475,-96.38444,-1.009947,1560.9442,0.12872683,1115.4242,0.20097806,-81.65869,-1.1170846,2646.4148,0.08094723,954.98785,0.29400635,-88.24023,-0.97653955,-6.378072,-0.75035006,20.355446,0.2436471,0.048352104,0.30948713,-0.008894444,-0.91185707,0.046689063,0.41652498,22.33494,0.15359505,-4.48183,-2.2231941,-4.4700556,-1.3281704,-12.637632,-0.50103366,-10.1843405,20.050894,0.042076744,-0.007421838,0.046437126,3.773585,2.631579,0.2225,0.11776565,0.1375,0.039607447,-41.74794,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
