,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
9,-4J4xkfN5cI.000.wav,38.17262,0.21127519,38.64094,39.82562,42.04825,3.4073067,251.92833,248.42906,181.13414,141.06685,0.8543651,0.59896153,0.4968893,0.6921786,1.151996,0.6551067,9.524628,6.98069,6.1534605,4.5745196,0.46375287,0.6907526,20.909096,0.389415,5.98357,1.8321681,12.117435,1.1364167,1.5465618,9.992605,0.02229961,1.0486476,1.2130977,0.56595975,6.9867187,0.4709168,6.827214,1.9635247,14.753054,0.9898258,726.2708,0.35415465,1304.3079,0.20445742,-167.7684,-0.39241073,1747.148,0.1567619,997.1221,0.35494065,-158.15604,-0.4560969,2809.4043,0.109573245,1006.71484,0.49097535,-159.16412,-0.4424186,-9.987897,-0.65917754,19.556753,0.431437,-0.010969644,-1.6217928,-0.013096528,-1.1891236,0.65500337,0.7185018,23.897295,0.3005273,-0.031098349,-449.45218,11.00628,1.7500392,-8.791023,-1.9438897,-9.530166,21.140226,-0.028305005,-0.00092983595,0.4069046,3.0991738,2.9075804,0.07035714,0.05381729,0.25321427,0.21761785,-21.13033,0.5700934579439253,0.5416666666666666,0.6153846153846153,0.3689320388349514,0.7333333333333333,Train
10,-4J4xkfN5cI.002.wav,37.3311,0.1957954,37.450294,39.288673,40.992294,3.5419998,443.00708,587.1103,360.23938,436.3129,0.7565108,0.49772084,0.45438647,0.6515406,1.0011421,0.5467557,8.816819,4.61117,4.9255753,3.257121,0.39255717,0.4657896,22.840172,0.32432252,6.318882,1.8952305,11.723961,1.0201039,4.4002404,3.2038338,0.036555197,1.7282014,1.2252654,0.5436327,6.0623226,0.49709314,8.533535,1.5707593,18.794111,0.53358907,698.3724,0.31250456,1380.798,0.19673258,-165.50677,-0.42172116,1739.301,0.14062788,1164.376,0.3602556,-154.3265,-0.49260783,2755.512,0.11236586,1000.4181,0.4249724,-155.67717,-0.47349274,-11.764246,-0.6864341,21.573196,0.47876114,-0.011594457,-2.1184614,-0.016349908,-0.84804904,0.46106634,0.4107716,26.460089,0.24134727,-0.15215835,-99.18956,10.793045,1.437926,-6.069649,-2.1394424,-11.272192,22.520876,-0.027961483,-0.0030356634,0.37009314,4.0,2.3943663,0.09588235,0.094778925,0.31030303,0.35344607,-23.339539,0.4579439252336449,0.3749999999999999,0.3626373626373627,0.3398058252427184,0.5222222222222223,Train
11,-55DRRMTppE.000.wav,37.3147,0.14760706,35.206318,36.81648,40.79121,5.5848923,316.2748,441.0844,49.61746,35.726154,1.6536832,0.7037124,0.68502283,1.3723129,2.3312097,1.6461868,21.449461,12.620607,15.067974,11.572105,0.97825557,0.7714336,22.553308,0.43140584,-1.2408192,-10.573889,17.906055,1.039892,-21.136002,-0.8773715,0.020004896,1.5772216,1.1316272,0.5436278,6.693,0.44390133,11.932828,1.0763048,17.103384,0.67409295,714.10016,0.31054103,1272.2882,0.19318782,-90.675354,-1.0056635,1802.2435,0.1255841,958.9897,0.45909554,-87.093834,-0.9654186,2810.7168,0.081866845,911.42285,0.5262134,-85.7902,-0.9908374,-8.642252,-0.79750043,16.446882,0.5453014,0.018607277,1.2851675,-0.024626154,-0.6084664,1.2615261,0.6169769,23.964697,0.43586424,-4.7631664,-2.7804973,18.503176,1.0752836,-26.459696,-0.6499089,-9.311036,16.753017,-0.00025380644,-0.020274717,0.52681935,3.4082108,3.4241247,0.17090909,0.13932987,0.108292684,0.08723119,-13.797043,0.5794392523364487,0.65625,0.6483516483516484,0.7184466019417477,0.6,Train
12,-55DRRMTppE.005.wav,38.460407,0.15426283,36.079,38.69383,42.004406,5.9254074,288.15973,534.7558,122.67492,128.55232,1.636502,0.6562359,0.7151344,1.3793861,2.2774715,1.5623372,25.42625,18.30272,16.21369,8.852804,1.0272003,0.77869016,19.274563,0.65426326,0.53219134,26.368101,16.831053,1.1726704,-15.43329,-1.44121,0.022060003,1.469716,1.1957815,0.5457861,6.5658035,0.49309474,12.984254,1.0769558,17.445698,0.6687297,742.37585,0.3156028,1240.9432,0.21850283,-105.92813,-0.84667355,1808.4762,0.1378036,938.74677,0.4287957,-97.20466,-0.8536716,2826.7224,0.0917483,881.4914,0.3985497,-95.950035,-0.87612474,-8.784079,-0.85130775,17.1226,0.5661902,0.01842222,1.5096298,-0.02088627,-0.7572425,1.3439875,0.611312,23.311129,0.4588275,-2.6480045,-4.6665697,16.903557,1.293088,-24.119244,-0.8208133,-5.231933,13.050148,-0.0073785707,-0.008167979,0.60658574,3.9423807,3.6613274,0.14791666,0.111970216,0.10723404,0.0973413,-13.662543,0.7383177570093458,0.6875,0.7692307692307692,0.7378640776699029,0.7333333333333333,Train
26,-9BZ8A9U7TE.003.wav,40.87012,0.07988913,39.12088,40.596462,43.04744,3.9265594,48.40441,39.070805,139.9006,206.16905,0.9989637,0.57758933,0.49576482,0.86738914,1.468959,0.9731941,14.348117,8.290085,10.154329,5.098813,0.43954888,0.7402347,11.848558,0.9969216,1.4146785,11.55495,7.1124687,2.1779048,-27.846777,-0.6609207,0.022836955,1.5553056,1.1774045,0.6492588,7.5362163,0.48122087,11.3320875,0.9020735,19.467339,0.49345952,734.93396,0.2855575,1391.6703,0.17022628,-106.05462,-0.87596536,1761.723,0.1309982,1072.7054,0.30655476,-93.18501,-0.92560226,2801.1406,0.08504395,871.05493,0.48859286,-93.96778,-0.9064309,-7.14439,-1.1350232,15.37203,0.5490289,0.03733047,0.70726794,-0.021667032,-0.7247406,0.56033117,0.5818639,14.307053,0.64970726,-1.186641,-14.314682,5.139732,3.2355688,-35.648018,-0.4671674,-3.0344763,9.890932,0.017641062,-0.008261037,0.27166656,4.4062734,3.2233882,0.17139533,0.11799844,0.120952375,0.121023595,-21.426191,0.4299065420560748,0.4583333333333333,0.5274725274725275,0.2718446601941747,0.4666666666666667,Train
28,-AmMDnVl4s8.001.wav,35.7452,0.11834135,32.26637,35.79115,39.02209,6.755722,189.46518,201.59874,84.23595,96.21171,0.71642476,0.53854454,0.39025483,0.6287067,1.0015725,0.61131763,6.7520185,4.8024073,4.713619,3.0133984,0.23352604,0.81326747,19.139408,0.51287156,-9.381578,-1.8074795,9.382475,1.6836722,-11.535007,-1.1671567,0.0229105,1.3595408,1.2377732,0.4496625,4.7944617,0.69907635,2.2166553,4.5805674,10.391092,0.88372594,669.0647,0.3725913,1349.2908,0.19989404,-86.89626,-1.0294532,1667.9572,0.14784719,1062.2562,0.3021842,-76.643074,-1.1040779,2680.4722,0.09424989,1054.8293,0.35204178,-79.77558,-1.0304601,-5.6300707,-1.0833182,15.528707,0.42628533,0.061038025,0.29937926,-0.010370805,-1.0680376,0.26360655,0.7693809,21.673618,0.37649533,-13.217539,-1.2170125,10.060664,1.5634589,-13.505108,-1.0013214,-5.241357,13.263895,0.060596067,-0.008697408,0.18124516,3.0859663,3.7721894,0.16274509,0.14549547,0.08808511,0.08833299,-26.444801,0.6261682242990655,0.6770833333333334,0.7142857142857143,0.5728155339805825,0.5888888888888889,Test
29,-AmMDnVl4s8.003.wav,34.801132,0.15542302,31.424473,33.473385,38.44586,7.021389,360.8681,510.14542,57.559692,41.223137,0.6184288,0.4508755,0.38279128,0.5418571,0.8471277,0.4643364,5.910821,3.3830934,3.4932141,1.9304252,0.1903458,0.650886,21.694445,0.4596694,-9.349026,-1.7572975,6.9517865,2.3088586,-9.7059145,-1.3526888,0.022521485,1.3056352,1.2760782,0.4517207,4.116463,0.7271407,5.6228385,1.8985865,12.158421,0.90922385,695.6296,0.36455774,1330.9696,0.18181235,-100.45659,-0.90203977,1672.648,0.14425012,1078.2417,0.27389538,-93.031525,-0.9518561,2687.4727,0.09323281,1001.953,0.3758814,-95.626495,-0.9029105,-5.7205157,-1.0781845,15.869414,0.44052708,0.059593953,0.32815874,-0.010215074,-1.4521388,0.22103135,0.5988011,24.62053,0.3299092,-13.447671,-1.0795424,9.257524,1.8501371,-12.706963,-1.0458094,-5.58264,14.595281,0.053887997,-0.0076624034,0.1515811,3.4356728,3.7417462,0.1409804,0.11019155,0.11,0.10827025,-28.625858,0.7663551401869159,0.84375,0.824175824175824,0.7572815533980582,0.7888888888888888,Test
31,-C5M9g4Quzc.002.wav,28.468922,0.14213374,24.780598,28.346935,31.068811,6.2882137,134.11198,205.58092,37.84164,19.643799,0.82776684,0.5685875,0.4504559,0.65347654,1.2380282,0.78757226,13.590068,9.766221,9.782951,8.716805,0.5602902,0.7718707,25.029934,0.44744593,-1.8480321,-6.0980344,16.153095,0.85208845,6.453088,2.245232,0.023664596,2.4745107,1.2955301,0.6833478,5.442698,0.4703299,2.7492023,2.6490276,18.769913,0.39681277,575.9632,0.3691096,1299.6685,0.1674351,-111.065834,-0.82769245,1577.3245,0.15147233,1038.5137,0.29028374,-111.90022,-0.7883096,2607.0103,0.10130792,958.672,0.2918789,-114.99569,-0.73808086,-12.234009,-0.49874362,22.57279,0.28351715,-0.009899791,-2.3356848,-0.01431148,-0.9611238,0.61451703,0.5268105,32.933773,0.22222936,-3.9733548,-3.2932792,13.565691,1.2391343,1.5726259,9.542807,-12.697128,20.179821,-0.040840577,0.0011225512,0.51172525,3.727145,2.8954802,0.15585366,0.1203648,0.1695122,0.14315182,-19.657824,0.588785046728972,0.5104166666666666,0.6153846153846153,0.4757281553398058,0.4888888888888889,Test
101,-fqiCqZtgYs.000.wav,30.26265,0.17409623,27.08536,31.377363,33.270615,6.185255,140.18445,96.37041,135.27135,161.55165,1.2307762,0.47739086,0.66970444,1.1612388,1.8186709,1.1489664,13.063979,6.0773296,9.041916,4.6410594,0.5846591,0.5827102,18.422468,0.67996645,0.15960965,92.47736,12.277592,1.2165483,-10.96066,-1.4792632,0.02455121,1.7569176,1.1240345,0.5708049,4.845642,0.5162016,1.7457669,6.728533,15.491642,0.67913234,752.15497,0.33922774,1240.4451,0.19873497,-113.22594,-0.82245356,1789.3027,0.16447423,959.0461,0.3365785,-109.727234,-0.8194309,2782.745,0.10171019,836.60846,0.33296022,-110.51486,-0.8057482,-9.082993,-0.5972956,18.032309,0.38828686,0.022644667,1.2684447,-0.021800863,-0.6759743,0.70862204,0.48889792,24.291132,0.3089297,-5.356524,-2.3541768,11.519917,1.4258494,-16.482878,-1.1011297,-5.596802,12.702858,0.0011256081,-0.012047985,0.48076507,4.297994,3.6664271,0.119607836,0.09403714,0.13274509,0.124034755,-18.825562,0.3457943925233645,0.65625,0.5604395604395604,0.4174757281553398,0.6222222222222222,Train
102,-fqiCqZtgYs.001.wav,33.818104,0.22258757,28.440786,33.43079,41.508427,13.06764,403.0566,660.4876,278.31683,464.3801,1.2743322,0.41888344,0.7868078,1.1802262,1.7243835,0.9375757,13.119888,5.617239,7.924509,3.7703054,0.6520749,0.5644637,17.752403,0.6153491,1.914365,7.4374037,13.192047,1.0500087,-5.812907,-2.4800134,0.03593308,1.8588057,1.2284074,0.5839499,4.657461,0.6796506,4.272446,2.939343,13.050562,0.8695688,705.63043,0.41918638,1216.1069,0.23479496,-145.49387,-0.5672384,1750.2039,0.18111241,912.15674,0.31436595,-137.99068,-0.6043116,2757.5876,0.11409021,799.5761,0.35429844,-138.64803,-0.5946435,-8.304147,-0.7421034,16.578438,0.45236018,0.016797103,2.172191,-0.018352177,-0.8168279,0.81140333,0.45899552,20.908182,0.38238218,-4.589827,-3.1845188,14.158108,1.1792519,-12.899114,-1.267016,-6.605594,15.450881,-0.004394005,-0.011503694,0.5759722,4.671632,3.6005437,0.08207547,0.087725095,0.17528301,0.15280525,-18.669882,0.308411214953271,0.4270833333333333,0.2417582417582417,0.3592233009708738,0.4111111111111111,Train
