,audio_tag,F0semitoneFrom27.5Hz_sma3nz_amean,F0semitoneFrom27.5Hz_sma3nz_stddevNorm,F0semitoneFrom27.5Hz_sma3nz_percentile20.0,F0semitoneFrom27.5Hz_sma3nz_percentile50.0,F0semitoneFrom27.5Hz_sma3nz_percentile80.0,F0semitoneFrom27.5Hz_sma3nz_pctlrange0-2,F0semitoneFrom27.5Hz_sma3nz_meanRisingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevRisingSlope,F0semitoneFrom27.5Hz_sma3nz_meanFallingSlope,F0semitoneFrom27.5Hz_sma3nz_stddevFallingSlope,loudness_sma3_amean,loudness_sma3_stddevNorm,loudness_sma3_percentile20.0,loudness_sma3_percentile50.0,loudness_sma3_percentile80.0,loudness_sma3_pctlrange0-2,loudness_sma3_meanRisingSlope,loudness_sma3_stddevRisingSlope,loudness_sma3_meanFallingSlope,loudness_sma3_stddevFallingSlope,spectralFlux_sma3_amean,spectralFlux_sma3_stddevNorm,mfcc1_sma3_amean,mfcc1_sma3_stddevNorm,mfcc2_sma3_amean,mfcc2_sma3_stddevNorm,mfcc3_sma3_amean,mfcc3_sma3_stddevNorm,mfcc4_sma3_amean,mfcc4_sma3_stddevNorm,jitterLocal_sma3nz_amean,jitterLocal_sma3nz_stddevNorm,shimmerLocaldB_sma3nz_amean,shimmerLocaldB_sma3nz_stddevNorm,HNRdBACF_sma3nz_amean,HNRdBACF_sma3nz_stddevNorm,logRelF0-H1-H2_sma3nz_amean,logRelF0-H1-H2_sma3nz_stddevNorm,logRelF0-H1-A3_sma3nz_amean,logRelF0-H1-A3_sma3nz_stddevNorm,F1frequency_sma3nz_amean,F1frequency_sma3nz_stddevNorm,F1bandwidth_sma3nz_amean,F1bandwidth_sma3nz_stddevNorm,F1amplitudeLogRelF0_sma3nz_amean,F1amplitudeLogRelF0_sma3nz_stddevNorm,F2frequency_sma3nz_amean,F2frequency_sma3nz_stddevNorm,F2bandwidth_sma3nz_amean,F2bandwidth_sma3nz_stddevNorm,F2amplitudeLogRelF0_sma3nz_amean,F2amplitudeLogRelF0_sma3nz_stddevNorm,F3frequency_sma3nz_amean,F3frequency_sma3nz_stddevNorm,F3bandwidth_sma3nz_amean,F3bandwidth_sma3nz_stddevNorm,F3amplitudeLogRelF0_sma3nz_amean,F3amplitudeLogRelF0_sma3nz_stddevNorm,alphaRatioV_sma3nz_amean,alphaRatioV_sma3nz_stddevNorm,hammarbergIndexV_sma3nz_amean,hammarbergIndexV_sma3nz_stddevNorm,slopeV0-500_sma3nz_amean,slopeV0-500_sma3nz_stddevNorm,slopeV500-1500_sma3nz_amean,slopeV500-1500_sma3nz_stddevNorm,spectralFluxV_sma3nz_amean,spectralFluxV_sma3nz_stddevNorm,mfcc1V_sma3nz_amean,mfcc1V_sma3nz_stddevNorm,mfcc2V_sma3nz_amean,mfcc2V_sma3nz_stddevNorm,mfcc3V_sma3nz_amean,mfcc3V_sma3nz_stddevNorm,mfcc4V_sma3nz_amean,mfcc4V_sma3nz_stddevNorm,alphaRatioUV_sma3nz_amean,hammarbergIndexUV_sma3nz_amean,slopeUV0-500_sma3nz_amean,slopeUV500-1500_sma3nz_amean,spectralFluxUV_sma3nz_amean,loudnessPeaksPerSec,VoicedSegmentsPerSec,MeanVoicedSegmentLengthSec,StddevVoicedSegmentLengthSec,MeanUnvoicedSegmentLength,StddevUnvoicedSegmentLength,equivalentSoundLevel_dBp,extraversion,neuroticism,agreeableness,conscientiousness,openness,Partition
0,--Ymqszjv54.000.wav,26.297888,0.07591961,24.752687,26.117311,27.533691,2.781004,96.54011,136.249,166.94777,368.84518,1.2824433,0.72707236,0.4374432,1.029409,2.1588483,1.721405,20.077097,10.150834,13.064529,6.6711993,0.7582625,0.7952257,21.66742,0.7547443,7.392138,2.5621235,11.444117,1.8757943,8.223456,1.6931063,0.01617235,1.5248556,1.1623598,0.66116434,4.8335466,0.5468437,4.146261,1.7628862,19.346554,0.5620433,531.12775,0.38746604,1297.0868,0.20148522,-89.8392,-1.0204813,1579.4254,0.13873519,950.2408,0.31492415,-92.93152,-0.9376008,2632.5857,0.07771878,954.1397,0.29618993,-95.59102,-0.8876771,-11.792144,-0.6859952,21.9511,0.41069725,0.016911862,1.2225556,-0.018583206,-0.77134985,0.9686123,0.5621855,29.836382,0.30833188,0.8911379,20.804533,18.160183,1.0709509,7.6826706,2.0234237,-8.521188,15.917647,0.015358794,-0.005197408,0.48632917,3.9453719,2.9051988,0.1905263,0.13640009,0.13263157,0.106219344,-14.888452,0.4205607476635514,0.5625,0.6593406593406592,0.4757281553398058,0.5777777777777777,Test
1,--Ymqszjv54.001.wav,25.656897,0.13721436,23.782097,24.702307,27.324652,3.5425549,220.2313,214.57005,41.811146,49.05837,1.2553794,0.6700195,0.46405473,1.0277826,2.0580363,1.5939816,19.805805,9.002418,11.677079,5.6760936,0.7586954,0.79089165,22.846422,0.7980836,4.571577,4.4721947,0.9103472,22.152605,5.9319797,2.1774259,0.017129615,2.4813852,1.2145035,0.6609618,4.340186,0.59498286,5.8481746,1.1565813,23.324945,0.49233323,561.95105,0.40142906,1365.2764,0.22151858,-95.03508,-0.9978411,1584.6351,0.14873838,1019.03564,0.2702036,-96.86259,-0.94161314,2689.4333,0.098612,1048.2346,0.33521664,-102.43856,-0.8414107,-10.492957,-0.86125135,24.440073,0.37776393,0.021245865,0.8793294,-0.0142152235,-0.88041306,0.9996511,0.54717743,32.79715,0.28670976,-1.6565909,-12.534756,7.7627826,2.606635,5.7274723,2.4498289,-6.0541515,15.683916,0.022147998,-0.0031756957,0.47195938,3.6653385,2.7221777,0.1902941,0.1484327,0.15705882,0.13552794,-15.4184065,0.5514018691588786,0.5,0.5274725274725275,0.6504854368932039,0.7444444444444444,Test
2,--Ymqszjv54.003.wav,25.262783,0.11302272,23.597918,24.69425,27.062037,3.464119,25.236397,12.515321,15.211404,8.478902,1.2886074,0.68631214,0.4912467,1.0144539,2.1728497,1.681603,20.901625,12.865283,11.3421545,5.8667464,0.72445804,0.7988902,23.964142,0.71802425,7.397366,2.6238585,3.7395082,5.0833664,6.6312747,2.5762427,0.012954217,2.0764854,1.1380961,0.7208421,5.12297,0.4718482,6.528084,0.9382619,24.586563,0.44750875,566.87305,0.4251819,1310.1588,0.14427191,-72.89492,-1.2138803,1598.0751,0.17036454,997.91583,0.26555824,-76.02407,-1.1262738,2723.2832,0.10192212,1002.0331,0.33111283,-83.13912,-0.96595895,-12.297757,-0.7553012,26.184778,0.36089268,0.016870445,1.4536473,-0.013609765,-1.2187374,0.90430397,0.61376417,32.002563,0.32358694,3.6631637,5.589939,7.8163266,2.55695,6.3160725,2.8455367,-5.7069592,13.626134,0.022360645,-0.0018048758,0.37433267,3.473492,2.5735295,0.24749999,0.15162511,0.13038461,0.101317495,-14.462745,0.3925233644859813,0.4270833333333333,0.5164835164835165,0.4757281553398058,0.4666666666666667,Test
3,--Ymqszjv54.004.wav,25.599623,0.13433878,23.396933,24.66837,26.96379,3.5668583,89.43703,105.23073,37.34143,25.809362,1.2831857,0.729922,0.42466202,0.9740925,2.1689696,1.7443076,24.854404,16.705717,12.751181,7.0844836,0.78224987,0.8978768,22.938673,0.7297989,5.2043366,3.837745,3.6709538,5.2748933,5.6172814,2.5606956,0.015476843,1.7337947,1.2212443,0.6962185,4.701984,0.5272889,3.6534963,1.8909111,23.71456,0.53313494,525.6016,0.39139974,1348.195,0.1765139,-88.32602,-1.0678427,1545.3213,0.14904328,1019.9232,0.31993523,-91.74414,-0.9823209,2680.9214,0.09907038,980.7148,0.34881246,-98.00186,-0.864366,-11.802368,-0.80261505,25.993006,0.3667809,0.019101273,1.0882134,-0.015537831,-0.9582756,0.97468257,0.61741203,32.068798,0.2650541,2.123251,9.751551,8.187287,2.2373958,4.6832995,3.4696364,-5.371021,14.570851,0.01833945,-0.001796327,0.53362876,3.3084311,2.253219,0.24619047,0.2049036,0.1690909,0.134702,-14.934782,0.3177570093457944,0.3229166666666666,0.5494505494505494,0.3689320388349514,0.5444444444444444,Test
4,--Ymqszjv54.005.wav,26.495634,0.1508648,24.302181,26.236872,27.654085,3.351904,630.68176,877.6554,33.39632,36.28936,1.3151791,0.64013255,0.49956483,1.1265447,2.1383896,1.6388247,17.0348,7.039659,12.430952,5.7245736,0.7881419,0.72280073,23.433868,0.7822014,6.4327416,3.0721936,3.7567213,5.017559,3.971326,4.133345,0.013719527,1.4248879,1.2141672,0.6623828,4.8458996,0.58310825,4.9527135,1.5280225,23.08149,0.51870847,572.2171,0.40639088,1311.5697,0.1836783,-86.63513,-1.0613952,1593.4045,0.17873472,1022.8821,0.3285126,-88.94197,-0.9865363,2708.6719,0.1054035,983.9018,0.34407705,-94.66141,-0.8753794,-10.525619,-0.96365553,24.546919,0.44463852,0.017015269,1.2813475,-0.016057357,-1.4254025,1.0228897,0.49604923,32.494522,0.3715964,1.8958234,10.655823,7.4391055,2.5975668,3.9757855,4.5378933,-6.0671587,14.008135,0.020759063,-0.0051298775,0.4495036,4.117647,2.857143,0.19931033,0.15961011,0.126,0.08118292,-14.212295,0.2990654205607476,0.2916666666666666,0.3736263736263736,0.3203883495145631,0.3444444444444444,Test
5,-10-QQDO_ME.001.wav,36.98987,0.097748265,34.893066,37.53528,39.01967,4.126602,102.03553,81.49754,42.17364,42.283962,0.5800232,0.6396178,0.29036465,0.48693094,0.80912584,0.51876116,7.7940254,4.5905776,4.564115,3.1571164,0.18530285,1.1425664,20.628202,0.45880383,-10.491667,-1.1981617,-1.7030641,-8.01342,-19.31888,-0.773635,0.016149554,2.1003027,1.0739294,0.59136695,8.155076,0.48449105,1.160696,8.741208,17.805561,0.5123836,759.92523,0.27098987,1378.2957,0.161732,-67.982056,-1.3385645,1786.6022,0.13010192,1100.3069,0.29601812,-67.71447,-1.2270745,2761.0469,0.08938426,961.3433,0.3446725,-70.471886,-1.1511389,-9.754921,-0.53832656,18.733732,0.37115097,0.071321376,0.28590155,-0.01967862,-0.62887335,0.22915985,1.0037649,24.568102,0.28732187,-12.537882,-1.0235963,-2.2210405,-6.627344,-24.069626,-0.5541623,-4.1615644,11.628554,0.048273955,-0.0033272766,0.087105855,2.931596,2.5109172,0.26869565,0.24013227,0.113181815,0.06642743,-25.770031,0.5327102803738318,0.4166666666666667,0.5494505494505494,0.5631067961165048,0.6555555555555556,Test
6,-10-QQDO_ME.002.wav,36.930557,0.05788179,35.61519,36.915432,38.020245,2.405056,190.78667,178.60196,21.615608,36.461094,0.5724174,0.5484686,0.26792628,0.51943415,0.8249315,0.5570052,5.6738887,2.8502626,3.9841232,2.0277998,0.16407165,0.83892155,21.423592,0.48810208,-14.159099,-0.926151,-6.7304764,-2.05581,-15.956464,-0.8341773,0.010220296,1.4570899,1.0024811,0.606169,8.458383,0.42175886,-0.5414408,-18.623882,19.136827,0.4905363,811.4984,0.25873095,1426.2162,0.15235966,-74.731125,-1.274411,1746.8208,0.11172835,1112.8728,0.24901935,-71.83842,-1.2519815,2788.7512,0.08474144,960.30255,0.38170233,-78.08537,-1.0932446,-8.105998,-0.700787,19.841043,0.35644582,0.07733086,0.2469515,-0.0172185,-0.71601754,0.21461096,0.6472013,26.5316,0.25991672,-18.725927,-0.67765754,-8.255054,-1.8981179,-20.831999,-0.56428605,-3.8555312,11.201116,0.048751105,-0.0031814356,0.0703133,3.1354985,2.2522523,0.28149998,0.19404316,0.1415,0.14008123,-26.31606,0.5794392523364487,0.53125,0.6703296703296703,0.5825242718446602,0.6555555555555556,Test
7,-10-QQDO_ME.005.wav,39.58654,0.0889281,36.862297,39.06021,42.599777,5.73748,207.47234,408.0912,48.160366,83.99833,0.56487054,0.54008955,0.30555817,0.48681712,0.82145613,0.515898,6.5300007,3.9017649,3.3962584,2.5356061,0.17715403,0.83583,22.462128,0.36262128,-10.345782,-1.2355934,-7.2415414,-1.8014756,-19.807486,-0.7187175,0.016088037,1.5849332,1.034659,0.5921376,9.333624,0.4148249,3.2724617,3.0955899,22.741291,0.4118886,800.4622,0.21673736,1332.7618,0.16750199,-66.32584,-1.3792458,1792.6423,0.10505971,1034.3586,0.2276439,-68.215836,-1.2183821,2846.2202,0.07701001,902.6591,0.4208833,-73.824974,-1.0749742,-10.648026,-0.52407944,22.723938,0.30308354,0.06879987,0.2803087,-0.018564172,-0.6756883,0.21585923,0.72855854,25.537825,0.2276532,-13.574473,-0.94757736,-9.941657,-1.3620429,-24.678606,-0.51319414,-6.3363433,14.189349,0.056706127,-0.006286884,0.0883947,3.165183,2.3904383,0.28333333,0.2837497,0.13095237,0.10600561,-25.847122,0.5327102803738318,0.5520833333333334,0.5164835164835165,0.6116504854368932,0.6333333333333333,Test
15,-6otZ7M-Mro.001.wav,21.768047,0.087673254,20.732378,21.386345,22.549118,1.81674,117.129555,98.154495,15.463416,14.966516,0.7574352,0.4728458,0.41472098,0.727221,1.0918143,0.67709327,8.662338,5.2807274,4.962226,1.8154097,0.35053247,0.70410454,20.169966,0.9267164,5.824474,2.3893664,6.758774,1.7898891,0.41586295,32.716812,0.022179963,1.7492793,1.3114656,0.5562319,2.70403,0.6761573,-1.8577224,-3.9038982,20.92969,0.4401662,558.5136,0.39482486,1337.5527,0.16262314,-116.07107,-0.80047,1604.893,0.18288,1019.42224,0.24076095,-119.668465,-0.7374027,2657.759,0.11677455,1021.9373,0.29445574,-123.3568,-0.6819977,-12.9533825,-0.50083023,25.091057,0.25412327,0.010378308,2.172722,-0.016225481,-0.88447416,0.46655127,0.5053109,32.795628,0.2607731,3.4706476,3.5537567,6.600612,2.1692743,0.69729495,22.608223,-3.6384757,12.103214,0.0050758845,-0.0011945475,0.263141,3.757829,2.5139666,0.16388889,0.12526144,0.21971427,0.15719844,-22.670471,0.4672897196261683,0.5729166666666666,0.7692307692307692,0.6990291262135921,0.7,Train
18,-6otZ7M-Mro.004.wav,23.14006,0.081607774,21.567162,22.67331,24.718473,3.1513119,91.99585,132.57751,33.80427,44.689713,0.80578023,0.48132217,0.45317867,0.7888487,1.1560054,0.70282674,8.7056265,4.8961964,5.9287806,3.2321308,0.38651186,0.6825655,22.019417,0.7433731,7.0044527,1.7298161,8.260759,1.7357427,1.1698977,13.805396,0.019459287,1.3085243,1.3256122,0.6305532,3.6627405,0.53005964,2.3059285,3.0666175,24.48933,0.36031172,640.8856,0.40981552,1355.7871,0.18773028,-100.97416,-0.9375814,1689.9757,0.18147919,1053.922,0.30358142,-105.11295,-0.84765947,2735.4834,0.11721127,1019.02765,0.3514302,-108.528625,-0.7904205,-12.946817,-0.52801865,24.65576,0.26859963,0.02034184,1.1483444,-0.013347132,-1.316386,0.4784245,0.52057374,31.41044,0.29407024,4.3920274,2.5792148,8.717714,1.7264233,0.38216937,47.7031,-6.4844966,15.162834,0.0062737116,-0.0020075955,0.2943754,3.8669763,2.872671,0.16810809,0.10684259,0.16416666,0.13616525,-21.42939,0.4485981308411215,0.6354166666666666,0.5934065934065933,0.5922330097087379,0.611111111111111,Train
