,filename,basename,n_segments,n_train,n_val,n_test,part_new
0,mDRMCwSD3Ms.001.wav,mDRMCwSD3Ms,2.0,0.0,2.0,0.0,Train
1,nUazOUcW_AM.002.wav,nUazOUcW_AM,3.0,2.0,1.0,0.0,Train
2,8AnIttmflwI.000.wav,8AnIttmflwI,4.0,1.0,3.0,0.0,Test
3,XB81sertsYU.004.wav,XB81sertsYU,2.0,1.0,1.0,0.0,Train
4,alucqviYJFE.005.wav,alucqviYJFE,6.0,4.0,2.0,0.0,Train
5,FTk2SCmJI_w.005.wav,FTk2SCmJI_w,3.0,0.0,2.0,1.0,Val
6,e3Y7na4SBh4.003.wav,e3Y7na4SBh4,5.0,3.0,1.0,1.0,Train
7,8Z6PrQdqffA.000.wav,8Z6PrQdqffA,6.0,4.0,2.0,0.0,Val
8,l3IoZ_QmOQo.002.wav,l3IoZ_QmOQo,5.0,2.0,1.0,2.0,Val
9,_G3kw9HwCqY.001.wav,_G3kw9HwCqY,5.0,4.0,1.0,0.0,Test
10,6nbxAP_ZKQQ.004.wav,6nbxAP_ZKQQ,3.0,2.0,1.0,0.0,Train
11,AR3UwbmgKuQ.002.wav,AR3UwbmgKuQ,6.0,4.0,2.0,0.0,Train
12,Kbcvurfuvhk.001.wav,Kbcvurfuvhk,5.0,3.0,2.0,0.0,Train
13,51KRxB3g7A8.001.wav,51KRxB3g7A8,4.0,1.0,2.0,1.0,Test
14,okSmKH2k5lE.003.wav,okSmKH2k5lE,4.0,1.0,3.0,0.0,Test
15,Kv0kZgqZEM0.002.wav,Kv0kZgqZEM0,5.0,2.0,2.0,1.0,Val
16,PXJfSp2WvVY.004.wav,PXJfSp2WvVY,2.0,0.0,2.0,0.0,Train
17,12Ezy1y1cWY.004.wav,12Ezy1y1cWY,4.0,2.0,1.0,1.0,Train
18,MswJxdf-3Fc.003.wav,MswJxdf-3Fc,3.0,2.0,1.0,0.0,Train
19,QNVsr2mGwGs.000.wav,QNVsr2mGwGs,5.0,3.0,1.0,1.0,Val
20,y4w-PiVPfjI.001.wav,y4w-PiVPfjI,1.0,0.0,1.0,0.0,Val
21,X1EjfXX3NTk.002.wav,X1EjfXX3NTk,6.0,3.0,2.0,1.0,Train
22,xRhUBifOWiI.002.wav,xRhUBifOWiI,6.0,4.0,1.0,1.0,Val
23,4CiR99jTzso.002.wav,4CiR99jTzso,2.0,1.0,1.0,0.0,Train
24,N5YT0FFd3-s.001.wav,N5YT0FFd3-s,4.0,0.0,4.0,0.0,Train
25,4kIHxR6s1L4.000.wav,4kIHxR6s1L4,5.0,3.0,1.0,1.0,Train
26,BmDClgdWlH4.005.wav,BmDClgdWlH4,5.0,3.0,1.0,1.0,Val
27,vqLtOsoNPnU.001.wav,vqLtOsoNPnU,6.0,2.0,2.0,2.0,Train
28,TNtcyfM9jak.004.wav,TNtcyfM9jak,6.0,5.0,1.0,0.0,Test
29,L5kpy0SA7os.002.wav,L5kpy0SA7os,6.0,3.0,1.0,2.0,Train
30,19pTUX8KfYM.004.wav,19pTUX8KfYM,6.0,1.0,2.0,3.0,Test
31,MCqC9VBT4q4.001.wav,MCqC9VBT4q4,1.0,0.0,1.0,0.0,Train
32,YPnuq0tDDqk.001.wav,YPnuq0tDDqk,6.0,2.0,2.0,2.0,Test
33,F-Dy1EFm_Mw.003.wav,F-Dy1EFm_Mw,2.0,1.0,1.0,0.0,Train
34,78zauTEQ-k8.003.wav,78zauTEQ-k8,5.0,3.0,1.0,1.0,Train
35,Rwsss8y1bf0.003.wav,Rwsss8y1bf0,6.0,3.0,3.0,0.0,Train
36,1TXS1Zg4wDc.001.wav,1TXS1Zg4wDc,1.0,0.0,1.0,0.0,Val
37,lnawWqnGpMc.003.wav,lnawWqnGpMc,6.0,4.0,2.0,0.0,Test
38,fUIWjaZCYwM.002.wav,fUIWjaZCYwM,3.0,2.0,1.0,0.0,Test
39,EfQUV-C-YrU.003.wav,EfQUV-C-YrU,2.0,1.0,1.0,0.0,Train
40,ApCq0dwH1Ak.000.wav,ApCq0dwH1Ak,1.0,0.0,1.0,0.0,Val
41,blAjqQ0ja8Q.001.wav,blAjqQ0ja8Q,5.0,2.0,3.0,0.0,Train
42,_QXI4n_FRN4.000.wav,_QXI4n_FRN4,4.0,1.0,3.0,0.0,Train
43,-DOqN0d8KHw.000.wav,-DOqN0d8KHw,6.0,2.0,2.0,2.0,Val
44,oJPdfhG4hT0.000.wav,oJPdfhG4hT0,3.0,2.0,1.0,0.0,Test
45,-RqxrwIxMvE.002.wav,-RqxrwIxMvE,2.0,0.0,1.0,1.0,Val
46,8AnIttmflwI.004.wav,8AnIttmflwI,4.0,1.0,3.0,0.0,Test
47,1CYzbX8AaP8.005.wav,1CYzbX8AaP8,4.0,2.0,2.0,0.0,Train
48,x0mD5kr2hu4.001.wav,x0mD5kr2hu4,4.0,0.0,2.0,2.0,Val
49,VbiUhNAdzus.001.wav,VbiUhNAdzus,5.0,2.0,2.0,1.0,Train
50,kPXVZD3ac8s.002.wav,kPXVZD3ac8s,4.0,1.0,2.0,1.0,Train
51,WZnLayQeIZ0.002.wav,WZnLayQeIZ0,6.0,2.0,3.0,1.0,Train
52,2d6btbaNdfo.005.wav,2d6btbaNdfo,6.0,1.0,3.0,2.0,Train
53,RZgTERiRDjA.002.wav,RZgTERiRDjA,3.0,1.0,2.0,0.0,Train
54,N7oR6_oMBFk.001.wav,N7oR6_oMBFk,5.0,2.0,2.0,1.0,Train
55,tASMzbFSxsQ.004.wav,tASMzbFSxsQ,1.0,0.0,1.0,0.0,Train
56,93bQfdes68U.000.wav,93bQfdes68U,1.0,0.0,1.0,0.0,Train
57,_IQX3zjINy4.003.wav,_IQX3zjINy4,1.0,0.0,1.0,0.0,Val
58,PooFvZH6fK0.002.wav,PooFvZH6fK0,4.0,2.0,2.0,0.0,Val
59,Vy-Lr_iM5qo.004.wav,Vy-Lr_iM5qo,5.0,4.0,1.0,0.0,Train
60,sx57p5HyekI.001.wav,sx57p5HyekI,1.0,0.0,1.0,0.0,Train
61,0u56Q_QmxIM.001.wav,0u56Q_QmxIM,6.0,2.0,3.0,1.0,Train
62,1hpZ2ecWqtI.000.wav,1hpZ2ecWqtI,6.0,3.0,2.0,1.0,Test
63,voXr6-ykd1w.001.wav,voXr6-ykd1w,3.0,2.0,1.0,0.0,Train
64,BQ9i8qkXiVQ.001.wav,BQ9i8qkXiVQ,2.0,1.0,1.0,0.0,Train
65,v5hZeuRW6m0.003.wav,v5hZeuRW6m0,1.0,0.0,1.0,0.0,Val
66,rD6NViDdyOU.000.wav,rD6NViDdyOU,4.0,3.0,1.0,0.0,Train
67,pkwzo1OkEmY.004.wav,pkwzo1OkEmY,3.0,2.0,1.0,0.0,Train
